"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"RLUF",-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
"YHBY",1,1,-1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,-1,1,1,1
"AIDB",0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"IDI",0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,-1,0,1,0,0
"PLSX",0,0,1,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1
"YOHF",-1,-1,1,0,1,0,-1,-1,0,1,1,1,1,0,-1,0,-1,-1,1,-1,-1
"YEGS",-1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"AAS",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"HEME",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"HEMH",1,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1
"NADD",0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
"PNUC",-1,0,0,-1,0,-1,0,0,0,1,1,1,1,0,1,0,-1,0,0,-1,0
"THIL",0,0,0,-1,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,-1,-1
"COAD",-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0
"QUED",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0
"MGSA",1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
"RPIB",1,1,0,0,1,0,0,1,0,0,0,0,-1,0,0,-1,-1,1,0,0,-1
"SRLE",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UIDA",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"DGOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FSAA",-1,-1,0,0,0,0,0,-1,-1,-1,-1,1,1,1,1,1,1,0,1,0,-1
"LSRA",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"MALF",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"MANY",0,-1,-1,0,1,0,0,1,1,1,1,-1,-1,-1,0,-1,0,1,0,0,1
"MGLC",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
"PGAB",0,0,0,0,0,0,0,1,1,1,0,0,0,0,-1,1,1,0,0,0,0
"RBSC",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"TREB",1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,-1,0,1,1,1,0
"SHIA",-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"XYLH",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1
"DGT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TDK",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,-1
"YAHJ",0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NUDJ",-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,0,-1,0,-1,-1,-1,-1,-1
"CSDA",0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,0,0,0,0,0,-1
"GADA",0,0,0,0,0,-1,-1,-1,-1,0,0,1,1,0,0,1,-1,-1,0,0,-1
"GCVH",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,-1,-1,-1,0
"GLNK",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,1,-1,-1,0,-1,1
"PTRB",1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"SDAA",1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,-1,0,0
"TNAB",1,1,0,0,0,0,-1,0,1,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1
"YAER",-1,-1,1,0,1,0,0,0,1,1,1,1,1,1,-1,1,1,1,1,1,1
"PABB",0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1
"ANSB",1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1
"EUTC",0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1
"HISQ",-1,-1,-1,-1,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"NIKA",-1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0
"PROW",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1
"SAPA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"GSIC",-1,-1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0
"OPPC",1,1,-1,0,0,0,0,1,1,0,-1,0,1,1,0,-1,1,1,1,1,1
"PRET",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FTSL",0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
