"","LB-Glucose","Glycerol...AA-Glucose","Acetate-Glucose","Fumarate-Glucose","Glucosamine-Glucose","Glycerol-Glucose","Pyruvate-Glucose","Chemostat.µ.0.5-Glucose","Chemostat.µ.0.35-Glucose","Chemostat.µ.0.20-Glucose","Chemostat.µ.0.12-Glucose","Stationary.phase.1.day-Glucose","Stationary.phase.3.days-Glucose","Osmotic.stress.glucose-Glucose","X42.C.glucose-Glucose","pH6.glucose-Glucose","Xylose-Glucose","Mannose-Glucose","Galactose-Glucose","Succinate-Glucose","Fructose-Glucose"
"YRAQ",-1,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
"YTFL",0,1,0,0,0,0,0,1,1,1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1
"YNJB",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0
"ZINT",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"PNCA",0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,0
"PAAB",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AMTB",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
"APAG",0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0
"CHAA",0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,-1,-1,0
"FEOA",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"GLPE",1,1,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1,0,-1,-1,-1,-1
"NHAB",0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"ARSC",0,-1,0,0,0,1,1,1,1,0,0,1,0,0,-1,1,0,1,0,0,1
"CVRA",0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1
"YDIE",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"YEAR",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"DJLA",0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1
"GRXA",-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,0,0,-1,-1,0
"YFCG",0,-1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
"YEED",-1,1,1,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,0
"TRG",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"FLIF",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"FLIJ",0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,1,-1,0,-1,-1,-1,-1
"FIMC",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"AMIC",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGT",0,0,0,0,-1,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,0
"LPXK",0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
"MEPA",0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,0,-1
"MLTB",-1,-1,0,-1,0,0,0,-1,-1,-1,-1,1,1,-1,0,0,0,-1,0,0,-1
"MLTC",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MRDA",0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0
"PBPG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RFAL",-1,1,0,0,0,0,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0
"YFIB",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
"YGEA",0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"YGER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMTA",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,1,0
"LOLE",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"YNAI",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"YBJT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
"YRAR",0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0
"RSPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"WAAU",1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0
"WZC",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUDD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"HOLB",0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,0
"INTF",1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"MUTM",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1
"MUTY",0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
"NEI",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"NFI",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"NTH",0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
"PRIB",-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PRIC",0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
"RECC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SBCB",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"SBCD",0,0,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1
"TOPB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XERC",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0
"XERD",1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1
"YBJD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOLC",1,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1
"YGBT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
"RECG",0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
"COMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0
"ACRR",0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ARGR",0,-1,0,-1,0,-1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"CBL",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"DICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,-1
"RFAH",0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1
"RPIR",-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1
"SOXR",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"TRER",-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"UXUR",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
"YCGE",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"YCJW",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"YHAJ",0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0
"CUER",1,0,1,0,0,0,0,0,0,0,0,-1,-1,1,0,-1,-1,1,1,0,-1
"GREB",0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"MQSA",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
"YHCO",-1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0
"BDCR",1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"FLGM",0,1,0,1,1,1,0,1,1,1,0,-1,-1,0,0,-1,-1,1,1,1,1
"DCUR",0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
"YEHT",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
"YPDB",0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"ULAR",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,-1
"COHE",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"YGEV",1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
"DTD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RMF",-1,-1,1,0,1,0,-1,0,0,1,1,-1,-1,-1,-1,1,0,0,-1,-1,0
"RND",-1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"RPMI",0,-1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
"RPMJ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ARNA",0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"DUSB",0,-1,-1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"DUSC",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RLMG",1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1
"YCIH",-1,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,1,-1,-1,0,0,-1
"RSMF",0,1,1,1,0,0,1,1,0,1,0,1,-1,-1,-1,-1,0,1,0,0,0
"TRML",0,0,-1,0,0,0,0,0,-1,-1,-1,1,0,1,0,1,0,-1,-1,-1,-1
"RLMD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACPS",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1
"CDSA",0,-1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PAAJ",0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0
"YCIA",-1,-1,-1,0,-1,0,0,-1,-1,-1,0,-1,0,0,1,0,0,0,0,0,0
"SBMA",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"FOLM",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0
"BTUR",1,1,0,0,0,1,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1
"FOLB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"HEMA",1,-1,-1,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,0
"HEMD",0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
"ISPA",0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,-1,0,0
"ISPB",0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1
"LIPB",1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1
"MOBA",-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"MOBB",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
"PAAK",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YGGW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MENF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"THIB",1,1,0,0,0,1,1,0,0,-1,0,-1,0,0,-1,-1,0,0,0,1,0
"YLII",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GNTK",0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1
"MALZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UHPT",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"UXAB",1,1,0,1,0,0,1,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,0
"AGAV",1,1,0,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,1,1,1,0
"GARL",1,1,1,0,0,1,0,1,1,1,1,-1,0,0,0,1,0,0,0,1,0
"NADK",0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
"YTFR",0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CYAA",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
"GADB",0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-1
"MHPE",0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0
"PHEP",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YBGJ",0,0,1,0,0,0,0,-1,0,0,-1,-1,-1,1,1,0,0,0,0,0,0
"YIFK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YQEG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTPA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPAA",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,1,1,1
"POTC",1,1,0,0,0,0,-1,1,1,1,0,1,1,0,-1,0,-1,-1,-1,-1,1
"YECS",-1,-1,-1,-1,0,0,-1,1,0,1,1,1,1,-1,0,1,0,0,0,-1,-1
"YJIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPPB",-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,1,1,1,1,1
"DPPC",-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,0,-1,0,1,1,1,1
"NIKC",0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0
"YJGM",-1,-1,0,-1,0,-1,0,-1,0,0,-1,1,0,1,1,1,0,0,0,-1,0
"YCIB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
"YEFM",-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,0
"FTSB",-1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0
"TILS",0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1
"FDHD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"NARH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NARI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUOK",1,1,-1,-1,0,1,0,1,1,0,1,-1,-1,1,1,0,1,0,-1,0,1
"NUOM",1,1,0,0,1,0,1,1,1,1,1,1,0,-1,0,-1,0,0,0,0,0
"NUON",1,1,0,1,1,1,1,1,1,1,1,-1,0,0,0,1,1,1,0,0,1
"PAAE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YKGE",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATPE",1,1,-1,0,1,1,1,-1,0,0,-1,1,1,1,-1,0,1,1,0,1,1
"CYOD",1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1
"GLCE",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYBD",1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1
"YNFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUOL",1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,0,-1,0,0,0,0
"DINI",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
"NUDL",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,1,0,0,0
"OSMB",-1,-1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,0,1,-1,-1
"PMRD",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"RACR",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"SYD",1,1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
"YAIW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YBIJ",-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0,-1
"YBJN",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
"YCGJ",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"YCHH",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"YCIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"YDHZ",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1
"YECF",1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,1,0,-1,0,0
"YFEC",1,1,0,1,1,0,0,0,0,0,0,-1,-1,-1,0,0,-1,1,-1,-1,-1
"YFEY",-1,-1,0,0,-1,0,0,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0
"YFGJ",0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"YFHG",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"YGDR",-1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,-1,1
"YHHK",1,0,0,0,1,0,1,0,0,0,0,0,-1,1,0,-1,0,0,1,0,-1
"YICS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YIIQ",0,1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0
"YJBD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,0,0,-1,0
"YNFD",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
"YOAC",1,1,0,1,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0
"YRBL",1,1,0,0,0,0,1,0,1,1,0,-1,0,0,1,0,1,0,0,1,1
"XYLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TATE",-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,0,1
"RSMJ",1,1,0,0,0,0,0,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0
"CGTA",0,0,0,1,1,1,0,-1,-1,-1,-1,1,1,1,1,0,1,0,0,-1,0
"GATR",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"YFDH",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CAS1",0,-1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0
"METTUDRAFT_4149",0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
"TUSA",0,-1,1,1,1,0,1,1,1,-1,1,-1,1,0,1,0,1,1,1,1,1
"TUSC",0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
"WECA",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"YDFW",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"YGDG",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
