,pyr_1,pyr_2,pyr_3
P69776,0.0,0.0,0.0
P69783,0.0,0.0,0.0
P69786,0.0,0.0,0.0
P69791,0.0,0.0,0.0
P69795,0.0,0.0,0.0
P69797,0.0,0.0,0.0
P69801,0.0,0.0,0.0
P69805,0.0,0.0,0.0
P69811,0.0,0.0,0.0
P69820,0.0,0.0,0.0
P69822,0.0,0.0,0.0
P69824,0.0,0.0,0.0
P69826,0.0,0.0,0.0
P69828,0.0,0.0,0.0
P69831,0.0,0.0,0.0
P69874,0.0,0.0,0.0
P69902,0.0,0.0,0.0
P69908,0.0,0.0,0.0
P69910,0.0,0.0,0.0
P69922,0.0,0.0,0.0
P69924,0.0,0.0,0.0
P71241,0.0,0.0,0.0
P75682,0.0,0.0,0.0
P75691,0.0,0.0,0.0
P75713,0.0,0.0,0.0
P75726,0.0,0.0,0.0
P75728,0.0,0.0,0.0
P75792,0.0,0.0,0.0
P75796,0.0,0.0,0.0
P75797,0.0,0.0,0.0
P75798,0.0,0.0,0.0
P75799,0.0,0.0,0.0
P75804,0.0,0.0,0.0
P75806,0.0,0.0,0.0
P75809,0.0,0.0,0.0
P75820,0.0,0.0,0.0
P75823,6.693198060526979,0.0,4.817205936523639
P75838,0.0,0.0,0.0
P75851,0.0,0.0,0.0
P75853,0.0,0.0,0.0
P75893,0.0,0.0,0.0
P75894,0.0,0.0,0.0
P75895,0.0,0.0,0.0
P75897,0.0,0.0,0.0
P75898,0.0,0.0,0.0
P75905,0.0,0.0,0.0
P75908,0.0,0.0,0.0
P75913,0.0,0.0,0.0
P75948,0.0,0.0,0.0
P75949,0.0,0.0,0.0
P75954,0.0,0.0,0.0
P75959,0.0,0.0,0.0
P76008,0.0,0.0,0.0
P76014,0.0,0.0,0.0
P76015,0.0,0.0,0.0
P76038,0.0,0.0,0.0
P76052,0.0,0.0,0.0
P76077,0.0,0.0,0.0
P76078,0.0,0.0,0.0
P76079,0.0,0.0,0.0
P76080,0.0,0.0,0.0
P76081,0.0,0.0,0.0
P76082,0.0,0.0,0.0
P76083,0.0,0.0,0.0
P76084,0.0,0.0,0.0
P76085,0.0,0.0,0.0
P76108,0.0,0.0,0.0
P76112,0.0,0.0,0.0
P76113,0.0,0.0,0.0
P76129,0.0,0.0,0.0
P76142,0.0,0.0,0.0
P76143,3.028777549645794,3.0264329426809016,2.1798615640272456
P76145,0.0,0.0,0.0
P76149,0.0,0.0,0.0
P76173,0.0,0.0,0.0
P76190,0.0,0.0,0.0
P76193,0.0,0.0,0.0
P76194,0.0,0.0,0.0
P76215,0.0,0.0,0.0
P76216,0.0,0.0,0.0
P76217,0.0,0.0,0.0
P76234,0.0,0.0,0.0
P76245,0.0,0.0,0.0
P76251,0.0,0.0,0.0
P76270,0.0,0.0,0.0
P76290,0.0,0.0,0.0
P76316,0.0,0.0,0.0
P76372,0.0,0.0,0.0
P76373,0.0,0.0,0.0
P76422,18.419189724502214,18.40493124569115,13.256597113137959
P76423,0.0,0.0,0.0
P76440,0.0,0.0,0.0
P76445,0.0,0.0,0.0
P76458,0.0,0.0,0.0
P76459,0.0,0.0,0.0
P76461,4.238046231339836,4.234765517405416,3.0501923415766985
P76469,0.0,0.0,0.0
P76472,0.0,0.0,0.0
P76473,0.0,0.0,0.0
P76491,0.0,0.0,0.0
P76503,0.0,175.98896964325476,175.98896964325476
P76514,0.0,0.0,0.0
P76518,0.0,0.0,0.0
P76535,0.0,0.0,0.0
P76536,0.0,0.0,0.0
P76558,0.0,0.0,0.0
P76577,7.049716536106212,7.044259280094542,5.073798211474377
P76641,0.0,0.0,0.0
P76658,0.0,0.0,0.0
P77044,0.0,0.0,0.0
P77150,0.0,0.0,0.0
P77156,0.0,0.0,0.0
P77161,0.0,0.0,0.0
P77172,0.0,0.0,0.0
P77202,0.0,0.0,0.0
P77215,0.0,0.0,0.0
P77218,49.82478304533599,0.0,0.0
P77231,0.0,0.0,0.0
P77243,0.0,0.0,0.0
P77247,0.0,0.0,0.0
P77252,0.0,0.0,0.0
P77256,0.0,0.0,0.0
P77257,0.0,0.0,0.0
P77272,0.0,0.0,0.0
P77302,0.0,0.0,0.0
P77319,0.0,0.0,0.0
P77334,0.0,0.0,0.0
P77357,0.0,0.0,0.0
P77364,0.0,0.0,0.0
P77366,0.0,0.0,0.0
P77374,0.0,0.0,0.0
P77397,0.0,0.0,0.0
P77398,0.0,0.0,0.0
P77399,19.384808590595476,19.369802616571654,13.951569067067885
P77425,0.0,0.0,0.0
P77432,2.0843089968284714,2.0826955124074966,1.5001118422427298
P77433,0.0,0.0,0.0
P77434,0.0,0.0,0.0
P77444,0.0,0.0,0.0
P77454,0.0,0.0,0.0
P77455,0.0,0.0,0.0
P77467,0.0,0.0,0.0
P77475,4.4589767094750545,4.456666835218742,3.209199680252111
P77488,38.728154814765745,38.698174963149874,27.873296979595427
P77495,0.0,0.0,0.0
P77499,0.0,0.0,0.0
P77522,0.0,0.0,0.0
P77526,0.0,0.0,0.0
P77536,0.0,0.0,0.0
P77541,0.0,0.0,0.0
P77555,0.0,0.0,0.0
P77567,0.0,0.0,0.0
P77570,0.0,0.0,0.0
P77580,0.0,210.69907927886973,0.0
P77581,0.0,0.0,0.0
P77596,0.0,0.0,0.0
P77608,0.0,0.0,0.0
P77619,0.0,0.0,0.0
P77625,0.0,0.0,0.0
P77650,0.0,0.0,0.0
P77671,0.0,0.0,0.0
P77672,0.0,0.0,0.0
P77674,0.0,0.0,0.0
P77689,0.0,0.0,0.0
P77690,0.0,0.0,0.0
P77718,660.0216779559703,659.5107485800999,475.0285762549226
P77731,0.0,0.0,0.0
P77756,0.0,0.0,0.0
P77757,0.0,0.0,0.0
P77781,0.0,0.0,0.0
P77783,0.0,0.0,0.0
P77788,0.0,0.0,0.0
P77790,0.0,0.0,0.0
P77791,0.0,0.0,0.0
P77795,0.0,0.0,0.0
P78055,0.0,59.287302007715574,42.692172801118204
P78061,0.0,0.0,0.0
P80644,0.0,0.0,0.0
P80645,0.0,0.0,0.0
P80668,0.0,0.0,0.0
Q46799,0.0,0.0,0.0
Q46800,0.0,0.0,0.0
Q46801,0.0,0.0,0.0
Q46806,0.0,0.0,0.0
Q46810,0.0,0.0,0.0
Q46822,0.0,0.0,0.0
Q46829,0.0,0.0,0.0
Q46845,0.0,0.0,0.0
Q46851,0.0,0.0,0.0
Q46856,0.0,0.0,0.0
Q46857,0.0,0.0,0.0
Q46871,0.0,0.0,0.0
Q46877,0.0,0.0,0.0
Q46890,0.0,0.0,0.0
Q46893,1.5683903845785605,1.5671762779104141,1.1287966384763617
Q46915,0.0,0.0,0.0
Q46920,0.0,0.0,0.0
Q46925,0.0,0.0,0.0
Q46938,0.0,0.0,0.0
Q47140,0.0,0.0,0.0
Q47146,1819.83427086562,1818.4255189726819,1309.7649843659824
Q47537,0.0,0.0,0.0
Q47538,0.0,0.0,0.0
Q47539,0.0,0.0,0.0
Q47690,0.0,0.0,0.0
Q59385,0.0,0.0,0.0
Q6BEX0,0.0,0.0,0.0
Q6BF16,0.0,0.0,0.0
Q6BF17,0.0,0.0,0.0
Q93K97,0.0,0.0,0.0
