# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006412	BP	e	translation	75/1395	80/1997	1.4952126074956248e-07	7	75	0.00021979625330185686	944759, 944761, 944866, 945158, 945190, 945310, 945382, 945506, 945536, 945555, 945618, 945657, 945765, 946030, 946122, 946223, 946225, 946385, 946430, 946452, 946643, 946906, 946941, 946969, 946989, 947051, 947083, 947096, 947103, 947175, 947369, 947372, 947497, 947680, 947684, 947686, 947779, 947780, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947816, 947817, 947819, 947828, 947838, 947846, 947847, 947874, 947894, 948079, 948080, 948103, 948425, 948483, 948484, 948489, 948490, 948645, 948661, 948720, 948723, 948785, 948855, 948897, 948909, 949002, 949116
GO:0005829	CC	e	cytosol	668/1395	826/1997	7.504705363761854e-20	2	668	1.2532857957482295e-17	944744, 944750, 944753, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944778, 944789, 944790, 944791, 944796, 944806, 944807, 944811, 944813, 944817, 944821, 944832, 944839, 944854, 944857, 944862, 944864, 944865, 944866, 944877, 944881, 944885, 944895, 944905, 944939, 944983, 944988, 944989, 945003, 945013, 945031, 945032, 945046, 945048, 945051, 945054, 945060, 945063, 945064, 945066, 945067, 945068, 945069, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945104, 945113, 945153, 945158, 945198, 945221, 945225, 945227, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945283, 945284, 945288, 945290, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945333, 945339, 945351, 945354, 945358, 945372, 945378, 945382, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945454, 945465, 945469, 945470, 945472, 945503, 945506, 945509, 945514, 945527, 945528, 945535, 945539, 945549, 945551, 945553, 945556, 945568, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945657, 945663, 945667, 945669, 945672, 945681, 945686, 945690, 945695, 945697, 945702, 945740, 945741, 945744, 945747, 945748, 945749, 945754, 945763, 945766, 945768, 945771, 945772, 945778, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945838, 945851, 945854, 945860, 945864, 945865, 945869, 945870, 945876, 945880, 945887, 945908, 945916, 945964, 945978, 945980, 946003, 946030, 946043, 946054, 946058, 946073, 946074, 946085, 946086, 946116, 946122, 946128, 946129, 946132, 946151, 946159, 946161, 946169, 946177, 946178, 946179, 946190, 946199, 946204, 946209, 946210, 946223, 946225, 946230, 946234, 946249, 946278, 946304, 946315, 946327, 946331, 946333, 946334, 946357, 946367, 946368, 946371, 946379, 946380, 946385, 946393, 946398, 946400, 946401, 946405, 946410, 946415, 946425, 946431, 946441, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946538, 946541, 946549, 946551, 946554, 946556, 946560, 946593, 946598, 946605, 946607, 946609, 946610, 946612, 946614, 946624, 946627, 946632, 946633, 946634, 946636, 946643, 946663, 946665, 946674, 946676, 946680, 946694, 946695, 946702, 946724, 946732, 946733, 946747, 946751, 946755, 946767, 946775, 946778, 946781, 946783, 946794, 946797, 946799, 946802, 946804, 946805, 946814, 946831, 946837, 946841, 946858, 946877, 946879, 946880, 946881, 946885, 946903, 946906, 946926, 946932, 946941, 946946, 946949, 946950, 946952, 946953, 946957, 946960, 946963, 946969, 946973, 946974, 946975, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947033, 947039, 947043, 947049, 947051, 947055, 947059, 947062, 947066, 947068, 947072, 947077, 947083, 947087, 947089, 947092, 947096, 947097, 947099, 947101, 947102, 947117, 947119, 947121, 947129, 947130, 947143, 947157, 947160, 947175, 947178, 947188, 947214, 947239, 947263, 947266, 947273, 947285, 947296, 947318, 947334, 947369, 947372, 947376, 947378, 947380, 947384, 947390, 947393, 947400, 947404, 947407, 947413, 947414, 947415, 947420, 947423, 947429, 947441, 947442, 947445, 947449, 947457, 947465, 947474, 947482, 947493, 947495, 947497, 947498, 947499, 947506, 947512, 947524, 947526, 947527, 947540, 947552, 947555, 947569, 947578, 947590, 947666, 947670, 947672, 947674, 947677, 947679, 947680, 947682, 947684, 947685, 947686, 947688, 947692, 947694, 947696, 947708, 947715, 947717, 947718, 947719, 947723, 947724, 947726, 947742, 947745, 947749, 947754, 947758, 947761, 947775, 947779, 947780, 947783, 947788, 947791, 947792, 947794, 947795, 947802, 947803, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947859, 947894, 947895, 947903, 947906, 947912, 947922, 947925, 947932, 947939, 947954, 947958, 947974, 947978, 948012, 948014, 948016, 948044, 948067, 948074, 948079, 948080, 948087, 948103, 948115, 948117, 948123, 948126, 948130, 948131, 948132, 948134, 948138, 948139, 948157, 948159, 948163, 948183, 948200, 948204, 948225, 948241, 948246, 948250, 948256, 948260, 948263, 948267, 948269, 948274, 948277, 948278, 948286, 948297, 948321, 948323, 948325, 948326, 948331, 948335, 948338, 948347, 948348, 948356, 948361, 948363, 948370, 948387, 948403, 948406, 948409, 948412, 948414, 948415, 948416, 948419, 948420, 948425, 948429, 948431, 948432, 948433, 948435, 948440, 948461, 948483, 948484, 948485, 948487, 948488, 948489, 948490, 948497, 948498, 948499, 948503, 948522, 948531, 948544, 948549, 948552, 948553, 948555, 948556, 948558, 948559, 948563, 948570, 948572, 948585, 948607, 948610, 948621, 948645, 948652, 948655, 948658, 948661, 948665, 948666, 948667, 948674, 948675, 948688, 948689, 948692, 948694, 948695, 948698, 948720, 948723, 948726, 948734, 948741, 948748, 948750, 948751, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948785, 948817, 948823, 948824, 948827, 948853, 948855, 948857, 948865, 948869, 948872, 948874, 948882, 948892, 948897, 948901, 948910, 948920, 948930, 948950, 948967, 948977, 948987, 949002, 949008, 949014, 949025, 949031, 949038, 949040, 949045, 949047, 949051, 949054, 949080, 949085, 949086, 949095, 949116, 949130, 1450243, 1450249, 2847759, 2847768
GO:0005737	CC	e	cytoplasm	480/1395	616/1997	1.1987684443896199e-07	2	480	1.0009716510653325e-05	944750, 944753, 944761, 944762, 944775, 944786, 944789, 944791, 944794, 944797, 944806, 944811, 944813, 944818, 944821, 944832, 944839, 944844, 944852, 944854, 944862, 944865, 944866, 944877, 944885, 944887, 944895, 944901, 944905, 944925, 944927, 944939, 944943, 944953, 944988, 944989, 945003, 945031, 945032, 945046, 945064, 945067, 945069, 945081, 945082, 945085, 945097, 945101, 945104, 945113, 945181, 945211, 945225, 945227, 945229, 945237, 945239, 945260, 945271, 945272, 945281, 945290, 945293, 945295, 945310, 945313, 945323, 945339, 945351, 945354, 945358, 945376, 945382, 945383, 945387, 945389, 945425, 945451, 945454, 945465, 945469, 945472, 945506, 945510, 945514, 945527, 945528, 945535, 945536, 945539, 945549, 945550, 945553, 945555, 945556, 945566, 945567, 945568, 945570, 945574, 945605, 945611, 945631, 945641, 945663, 945667, 945669, 945681, 945686, 945687, 945690, 945693, 945697, 945702, 945748, 945752, 945758, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945807, 945824, 945829, 945834, 945842, 945864, 945880, 945887, 945904, 945908, 945987, 945998, 946003, 946030, 946043, 946058, 946071, 946073, 946074, 946092, 946106, 946122, 946128, 946147, 946153, 946161, 946169, 946173, 946178, 946179, 946185, 946199, 946204, 946223, 946225, 946229, 946234, 946240, 946249, 946278, 946304, 946327, 946328, 946333, 946334, 946348, 946367, 946371, 946379, 946385, 946393, 946400, 946401, 946410, 946425, 946430, 946431, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946605, 946610, 946614, 946624, 946626, 946632, 946633, 946643, 946674, 946677, 946680, 946690, 946702, 946724, 946732, 946771, 946775, 946778, 946781, 946794, 946796, 946799, 946802, 946837, 946841, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946946, 946949, 946950, 946952, 946955, 946969, 946973, 946975, 946988, 946989, 946993, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947033, 947039, 947041, 947049, 947050, 947055, 947059, 947062, 947067, 947077, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947114, 947115, 947121, 947130, 947144, 947149, 947170, 947175, 947178, 947188, 947210, 947230, 947253, 947278, 947283, 947284, 947285, 947289, 947296, 947301, 947318, 947324, 947369, 947372, 947384, 947386, 947393, 947404, 947413, 947414, 947429, 947445, 947457, 947474, 947495, 947497, 947498, 947499, 947524, 947544, 947560, 947572, 947578, 947590, 947615, 947648, 947664, 947666, 947672, 947674, 947679, 947680, 947682, 947684, 947685, 947688, 947694, 947708, 947709, 947725, 947726, 947742, 947753, 947754, 947758, 947761, 947783, 947794, 947838, 947847, 947848, 947853, 947854, 947859, 947864, 947881, 947894, 947916, 947922, 947927, 947934, 947954, 947955, 947974, 947978, 948007, 948014, 948016, 948044, 948074, 948079, 948080, 948087, 948103, 948115, 948123, 948126, 948130, 948132, 948138, 948139, 948157, 948159, 948163, 948200, 948221, 948241, 948246, 948250, 948256, 948260, 948267, 948285, 948286, 948310, 948324, 948326, 948346, 948347, 948356, 948360, 948361, 948370, 948403, 948409, 948412, 948414, 948415, 948419, 948420, 948424, 948429, 948433, 948434, 948435, 948455, 948456, 948461, 948463, 948464, 948479, 948496, 948497, 948499, 948512, 948513, 948520, 948522, 948523, 948531, 948556, 948559, 948563, 948585, 948610, 948645, 948652, 948655, 948660, 948661, 948665, 948670, 948674, 948675, 948684, 948688, 948692, 948694, 948695, 948706, 948710, 948726, 948734, 948748, 948750, 948751, 948752, 948753, 948762, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948823, 948824, 948853, 948855, 948857, 948865, 948869, 948874, 948892, 948894, 948897, 948899, 948909, 948910, 948913, 948917, 948950, 948967, 948971, 948987, 949002, 949025, 949038, 949040, 949054, 949060, 949097, 949116, 949130, 2847759
GO:0005840	CC	e	ribosome	36/1395	37/1997	3.705158987747012e-05	5	36	0.001237523101907502	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0016021	CC	p	integral component of membrane	169/1395	291/1997	4.521149843174933e-06	3	169	0.0002516773412700713	944773, 944799, 944801, 944803, 944822, 944830, 944870, 944876, 944894, 944918, 944936, 944967, 945004, 945080, 945084, 945108, 945128, 945136, 945185, 945191, 945192, 945199, 945213, 945292, 945316, 945328, 945341, 945347, 945374, 945401, 945420, 945504, 945513, 945525, 945554, 945571, 945602, 945615, 945621, 945624, 945651, 945677, 945691, 945749, 945790, 945821, 945823, 945843, 945878, 945883, 945893, 945898, 945910, 945978, 946015, 946018, 946033, 946056, 946057, 946076, 946106, 946144, 946238, 946246, 946288, 946326, 946332, 946334, 946335, 946342, 946345, 946350, 946352, 946355, 946399, 946495, 946540, 946553, 946576, 946628, 946672, 946685, 946693, 946695, 946704, 946705, 946716, 946717, 946751, 946761, 946764, 946820, 946869, 946882, 946895, 946956, 946981, 947069, 947135, 947145, 947157, 947166, 947257, 947259, 947303, 947322, 947416, 947521, 947555, 947605, 947614, 947643, 947690, 947720, 947731, 947787, 947815, 947887, 947907, 947919, 947930, 947966, 947969, 948009, 948032, 948033, 948039, 948043, 948058, 948063, 948064, 948068, 948075, 948118, 948148, 948214, 948220, 948247, 948252, 948262, 948311, 948319, 948321, 948328, 948351, 948422, 948428, 948486, 948548, 948575, 948577, 948591, 948626, 948659, 948676, 948697, 948698, 948725, 948727, 948778, 948795, 948876, 948900, 948914, 948933, 949039, 949042, 949120, 949133
GO:0016020	CC	p	membrane	281/1395	457/1997	1.2898640483024609e-05	2	281	0.0005385182401662774	944750, 944753, 944773, 944778, 944799, 944801, 944803, 944817, 944821, 944822, 944830, 944854, 944870, 944872, 944876, 944893, 944894, 944918, 944936, 944964, 944967, 945004, 945070, 945080, 945084, 945108, 945112, 945128, 945136, 945173, 945185, 945189, 945191, 945192, 945199, 945213, 945222, 945254, 945292, 945300, 945305, 945316, 945328, 945341, 945347, 945368, 945374, 945381, 945401, 945402, 945420, 945435, 945455, 945457, 945476, 945491, 945492, 945504, 945513, 945521, 945525, 945554, 945556, 945571, 945583, 945602, 945615, 945621, 945624, 945641, 945651, 945655, 945670, 945677, 945691, 945693, 945741, 945752, 945782, 945790, 945802, 945818, 945821, 945823, 945843, 945866, 945878, 945883, 945887, 945893, 945898, 945910, 945978, 945987, 946015, 946018, 946033, 946056, 946057, 946058, 946076, 946096, 946106, 946132, 946144, 946172, 946175, 946238, 946246, 946288, 946301, 946326, 946327, 946332, 946334, 946335, 946342, 946345, 946350, 946352, 946355, 946399, 946422, 946451, 946495, 946525, 946540, 946553, 946576, 946628, 946672, 946685, 946686, 946693, 946695, 946704, 946705, 946716, 946717, 946733, 946738, 946751, 946757, 946759, 946761, 946762, 946764, 946782, 946792, 946801, 946820, 946869, 946882, 946889, 946895, 946956, 946970, 946971, 946981, 946990, 946996, 947011, 947051, 947059, 947069, 947086, 947135, 947139, 947145, 947148, 947157, 947166, 947253, 947257, 947259, 947276, 947302, 947303, 947304, 947318, 947322, 947377, 947416, 947496, 947499, 947521, 947526, 947555, 947605, 947614, 947643, 947690, 947720, 947725, 947729, 947731, 947787, 947788, 947815, 947838, 947887, 947907, 947919, 947930, 947966, 947967, 947969, 947978, 948003, 948009, 948022, 948032, 948033, 948039, 948043, 948056, 948058, 948063, 948064, 948065, 948068, 948075, 948118, 948121, 948148, 948175, 948203, 948214, 948220, 948240, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948321, 948326, 948328, 948351, 948370, 948422, 948428, 948486, 948536, 948537, 948548, 948575, 948577, 948591, 948626, 948659, 948670, 948673, 948676, 948697, 948698, 948725, 948727, 948728, 948778, 948795, 948833, 948876, 948900, 948914, 948933, 948980, 948981, 948988, 949036, 949039, 949042, 949120, 949133, 2847737
GO:0005886	CC	p	plasma membrane	257/1395	413/1997	0.0001869052261541199	3	257	0.005202195461289671	944750, 944773, 944778, 944799, 944801, 944803, 944817, 944821, 944822, 944830, 944833, 944854, 944876, 944893, 944894, 944918, 944936, 945070, 945080, 945084, 945108, 945112, 945136, 945191, 945192, 945199, 945213, 945222, 945254, 945292, 945300, 945305, 945316, 945328, 945341, 945347, 945368, 945374, 945401, 945402, 945420, 945435, 945455, 945457, 945476, 945491, 945504, 945513, 945521, 945525, 945556, 945566, 945600, 945602, 945615, 945621, 945624, 945641, 945651, 945670, 945677, 945691, 945693, 945740, 945741, 945752, 945782, 945790, 945802, 945818, 945821, 945823, 945835, 945843, 945866, 945878, 945883, 945887, 945893, 945898, 945909, 945910, 945978, 945987, 946018, 946033, 946056, 946057, 946076, 946096, 946106, 946132, 946144, 946172, 946178, 946215, 946238, 946326, 946327, 946332, 946334, 946335, 946342, 946345, 946350, 946352, 946355, 946399, 946400, 946401, 946422, 946431, 946451, 946495, 946553, 946576, 946582, 946628, 946672, 946677, 946685, 946693, 946695, 946704, 946705, 946717, 946733, 946738, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946792, 946869, 946882, 946889, 946895, 946970, 946971, 946990, 947011, 947051, 947059, 947069, 947135, 947139, 947145, 947148, 947157, 947166, 947253, 947257, 947259, 947276, 947302, 947303, 947304, 947318, 947322, 947377, 947404, 947415, 947416, 947496, 947499, 947526, 947605, 947614, 947643, 947690, 947720, 947725, 947729, 947731, 947787, 947788, 947815, 947838, 947887, 947907, 947919, 947930, 947966, 947967, 947969, 947978, 948003, 948009, 948032, 948033, 948039, 948043, 948056, 948058, 948063, 948064, 948065, 948068, 948074, 948075, 948118, 948121, 948148, 948175, 948203, 948214, 948220, 948240, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948321, 948326, 948328, 948351, 948422, 948428, 948486, 948537, 948575, 948577, 948591, 948626, 948659, 948667, 948673, 948676, 948697, 948698, 948725, 948727, 948728, 948778, 948795, 948876, 948900, 948914, 948933, 948980, 949007, 949036, 949039, 949120, 949133, 2847737
