# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008652	BP	e	cellular amino acid biosynthetic process	85/1300	89/1997	4.289372127857364e-12	7	85	6.305377027950325e-09	944762, 944775, 944798, 944844, 944862, 945031, 945034, 945076, 945109, 945198, 945221, 945258, 945281, 945519, 945527, 945528, 945605, 945642, 945768, 945771, 945803, 945846, 946204, 946210, 946229, 946240, 946425, 946515, 946516, 946521, 946531, 946544, 946549, 946551, 946552, 946680, 946797, 946877, 946888, 946952, 947022, 947084, 947115, 947231, 947239, 947267, 947289, 947313, 947465, 947498, 947590, 947723, 947724, 947776, 947861, 947864, 947927, 947939, 948126, 948182, 948183, 948277, 948278, 948286, 948287, 948310, 948323, 948432, 948433, 948434, 948435, 948455, 948456, 948463, 948464, 948513, 948522, 948531, 948563, 948771, 948774, 948793, 948913, 949025, 2847759
GO:0006412	BP	e	translation	68/1300	80/1997	6.575281355132149e-05	7	68	0.048328317960221294	944759, 944761, 944866, 945158, 945190, 945310, 945506, 945536, 945555, 945618, 945657, 945765, 946030, 946122, 946222, 946223, 946225, 946385, 946430, 946452, 946643, 946906, 946941, 946969, 946989, 947083, 947096, 947103, 947175, 947369, 947372, 947497, 947680, 947686, 947779, 947780, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947807, 947809, 947816, 947817, 947828, 947838, 947846, 947847, 947874, 947894, 948079, 948425, 948483, 948484, 948489, 948490, 948645, 948661, 948720, 948723, 948785, 948855, 948897, 948909, 949116
GO:0005829	CC	e	cytosol	628/1300	826/1997	4.37987371973179e-18	2	628	7.314389111952089e-16	944748, 944749, 944750, 944753, 944759, 944761, 944762, 944774, 944775, 944789, 944791, 944796, 944798, 944807, 944811, 944817, 944832, 944839, 944840, 944849, 944854, 944857, 944862, 944864, 944865, 944866, 944881, 944882, 944885, 944889, 944895, 944905, 944939, 944955, 944958, 944983, 944988, 944993, 945003, 945013, 945031, 945032, 945034, 945046, 945048, 945051, 945060, 945063, 945066, 945067, 945069, 945076, 945081, 945083, 945085, 945087, 945097, 945098, 945104, 945113, 945153, 945158, 945198, 945220, 945221, 945225, 945226, 945227, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945281, 945282, 945283, 945284, 945290, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945333, 945339, 945351, 945358, 945366, 945372, 945378, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945454, 945465, 945470, 945472, 945483, 945503, 945506, 945509, 945514, 945527, 945528, 945533, 945535, 945537, 945539, 945551, 945553, 945556, 945568, 945574, 945605, 945609, 945611, 945612, 945618, 945632, 945637, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945686, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945744, 945747, 945748, 945749, 945754, 945766, 945768, 945771, 945772, 945778, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945838, 945840, 945846, 945848, 945851, 945854, 945860, 945864, 945865, 945870, 945876, 945879, 945880, 945887, 945908, 945916, 945964, 945978, 945979, 945980, 946030, 946043, 946054, 946074, 946085, 946086, 946116, 946122, 946128, 946129, 946132, 946151, 946159, 946161, 946162, 946169, 946177, 946178, 946179, 946204, 946209, 946210, 946222, 946223, 946225, 946234, 946254, 946278, 946304, 946333, 946334, 946357, 946364, 946367, 946368, 946371, 946379, 946380, 946384, 946385, 946398, 946410, 946425, 946431, 946452, 946453, 946472, 946480, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946538, 946541, 946549, 946551, 946554, 946556, 946560, 946572, 946593, 946597, 946598, 946605, 946607, 946609, 946610, 946612, 946624, 946627, 946632, 946633, 946634, 946636, 946643, 946665, 946674, 946676, 946680, 946694, 946702, 946713, 946724, 946733, 946751, 946755, 946767, 946775, 946781, 946783, 946794, 946797, 946799, 946802, 946804, 946805, 946831, 946837, 946841, 946858, 946877, 946879, 946880, 946881, 946885, 946903, 946906, 946913, 946924, 946926, 946941, 946946, 946949, 946952, 946953, 946957, 946969, 946973, 946974, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947014, 947022, 947024, 947032, 947039, 947055, 947059, 947066, 947068, 947072, 947077, 947083, 947087, 947089, 947096, 947097, 947101, 947102, 947117, 947119, 947120, 947121, 947129, 947130, 947143, 947157, 947168, 947175, 947178, 947188, 947214, 947234, 947239, 947263, 947266, 947267, 947273, 947285, 947296, 947334, 947364, 947369, 947372, 947376, 947378, 947380, 947384, 947385, 947390, 947393, 947394, 947400, 947404, 947414, 947415, 947420, 947426, 947429, 947441, 947442, 947449, 947461, 947465, 947474, 947493, 947495, 947497, 947498, 947499, 947512, 947524, 947526, 947527, 947540, 947552, 947555, 947578, 947590, 947655, 947670, 947672, 947674, 947679, 947680, 947682, 947685, 947686, 947688, 947691, 947692, 947694, 947696, 947703, 947708, 947715, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947745, 947749, 947754, 947758, 947759, 947761, 947775, 947776, 947779, 947780, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947854, 947859, 947894, 947895, 947903, 947906, 947912, 947925, 947932, 947939, 947946, 947958, 947978, 948012, 948014, 948027, 948067, 948074, 948079, 948087, 948113, 948115, 948117, 948123, 948126, 948130, 948131, 948132, 948134, 948138, 948139, 948154, 948157, 948163, 948183, 948204, 948217, 948222, 948225, 948246, 948250, 948256, 948260, 948263, 948267, 948274, 948277, 948278, 948286, 948290, 948297, 948321, 948323, 948325, 948326, 948327, 948331, 948335, 948348, 948356, 948358, 948361, 948363, 948370, 948384, 948387, 948403, 948404, 948409, 948414, 948415, 948416, 948419, 948420, 948423, 948425, 948430, 948431, 948432, 948433, 948435, 948440, 948457, 948461, 948470, 948483, 948484, 948485, 948487, 948488, 948489, 948490, 948497, 948498, 948499, 948503, 948522, 948531, 948535, 948544, 948549, 948552, 948555, 948556, 948558, 948563, 948572, 948585, 948607, 948610, 948621, 948631, 948645, 948652, 948655, 948658, 948661, 948665, 948667, 948675, 948688, 948689, 948692, 948695, 948698, 948720, 948723, 948726, 948734, 948741, 948750, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948785, 948793, 948817, 948823, 948824, 948853, 948855, 948857, 948865, 948872, 948874, 948882, 948887, 948891, 948892, 948897, 948901, 948902, 948910, 948916, 948930, 948950, 948967, 948977, 948986, 948987, 949008, 949014, 949025, 949031, 949038, 949040, 949045, 949051, 949054, 949086, 949116, 949130, 1450243, 1450249, 2847759, 2847768
GO:0005737	CC	e	cytoplasm	437/1300	616/1997	0.0002505691447943103	2	437	0.008191190407597823	944748, 944750, 944753, 944761, 944762, 944775, 944786, 944789, 944791, 944794, 944797, 944798, 944811, 944832, 944839, 944840, 944844, 944849, 944852, 944854, 944862, 944865, 944866, 944882, 944885, 944888, 944889, 944895, 944901, 944905, 944925, 944939, 944943, 944953, 944958, 944986, 944988, 945003, 945031, 945032, 945034, 945046, 945067, 945069, 945081, 945082, 945085, 945097, 945101, 945104, 945113, 945217, 945225, 945227, 945237, 945239, 945260, 945271, 945272, 945281, 945290, 945295, 945310, 945313, 945323, 945339, 945351, 945358, 945366, 945376, 945387, 945389, 945425, 945437, 945451, 945454, 945465, 945472, 945506, 945514, 945527, 945528, 945533, 945535, 945536, 945539, 945550, 945553, 945555, 945556, 945564, 945566, 945568, 945570, 945574, 945605, 945611, 945631, 945663, 945667, 945669, 945686, 945687, 945690, 945697, 945702, 945748, 945752, 945758, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945807, 945824, 945829, 945834, 945839, 945842, 945864, 945880, 945887, 945904, 945908, 945979, 945987, 945998, 946030, 946043, 946074, 946106, 946122, 946128, 946147, 946153, 946161, 946169, 946178, 946179, 946185, 946204, 946222, 946223, 946225, 946229, 946234, 946240, 946278, 946304, 946328, 946333, 946334, 946367, 946371, 946379, 946385, 946410, 946425, 946430, 946431, 946434, 946452, 946472, 946480, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946597, 946605, 946610, 946624, 946626, 946632, 946633, 946643, 946674, 946680, 946690, 946702, 946724, 946772, 946775, 946781, 946794, 946796, 946799, 946802, 946815, 946837, 946841, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946913, 946946, 946949, 946952, 946955, 946969, 946973, 946989, 946993, 946995, 947002, 947018, 947022, 947024, 947032, 947039, 947041, 947050, 947055, 947059, 947067, 947077, 947083, 947084, 947097, 947101, 947102, 947114, 947115, 947121, 947130, 947144, 947170, 947175, 947178, 947188, 947230, 947234, 947253, 947283, 947285, 947289, 947296, 947324, 947369, 947372, 947384, 947385, 947393, 947404, 947414, 947429, 947444, 947474, 947495, 947497, 947498, 947499, 947524, 947528, 947532, 947544, 947578, 947589, 947590, 947630, 947648, 947664, 947672, 947674, 947679, 947680, 947682, 947685, 947688, 947691, 947694, 947703, 947708, 947709, 947721, 947725, 947726, 947742, 947753, 947754, 947758, 947759, 947761, 947794, 947838, 947847, 947848, 947854, 947859, 947861, 947864, 947881, 947894, 947916, 947927, 947931, 947934, 947955, 947968, 947978, 948007, 948014, 948074, 948079, 948087, 948115, 948119, 948123, 948126, 948130, 948132, 948138, 948139, 948157, 948158, 948163, 948217, 948221, 948222, 948233, 948246, 948250, 948256, 948260, 948267, 948285, 948286, 948290, 948310, 948324, 948326, 948356, 948360, 948361, 948370, 948384, 948403, 948404, 948409, 948414, 948415, 948419, 948420, 948424, 948430, 948433, 948434, 948435, 948455, 948456, 948461, 948463, 948464, 948470, 948496, 948497, 948499, 948512, 948513, 948520, 948522, 948531, 948535, 948556, 948563, 948585, 948610, 948631, 948640, 948645, 948652, 948655, 948660, 948661, 948665, 948670, 948675, 948684, 948688, 948692, 948695, 948726, 948734, 948750, 948752, 948753, 948762, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948823, 948824, 948853, 948855, 948857, 948865, 948874, 948891, 948892, 948894, 948897, 948899, 948902, 948909, 948910, 948913, 948950, 948967, 948971, 948987, 949025, 949038, 949040, 949054, 949060, 949097, 949116, 949130, 2847756, 2847759
GO:0005840	CC	e	ribosome	34/1300	37/1997	0.00033137273003167034	5	34	0.008191190407597823	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947807, 947809, 947816, 947817, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005886	CC	p	plasma membrane	230/1300	413/1997	1.0019326826589673e-05	3	230	0.0008366137900202376	944750, 944801, 944803, 944817, 944830, 944854, 944893, 944894, 944896, 944918, 944936, 945070, 945080, 945084, 945108, 945112, 945118, 945136, 945191, 945192, 945199, 945213, 945222, 945241, 945254, 945292, 945300, 945305, 945316, 945328, 945341, 945347, 945350, 945374, 945402, 945414, 945420, 945435, 945455, 945476, 945491, 945504, 945513, 945521, 945525, 945526, 945530, 945556, 945566, 945615, 945621, 945624, 945651, 945670, 945677, 945740, 945741, 945752, 945823, 945866, 945878, 945887, 945893, 945909, 945910, 945978, 945987, 946018, 946056, 946057, 946106, 946132, 946144, 946172, 946178, 946201, 946238, 946323, 946332, 946334, 946335, 946342, 946345, 946350, 946355, 946399, 946431, 946451, 946495, 946526, 946553, 946576, 946582, 946611, 946625, 946628, 946685, 946693, 946704, 946713, 946733, 946735, 946738, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946889, 946895, 946897, 946990, 946992, 947053, 947059, 947069, 947139, 947145, 947148, 947157, 947166, 947235, 947253, 947257, 947259, 947276, 947302, 947304, 947322, 947377, 947404, 947415, 947416, 947421, 947499, 947526, 947561, 947580, 947605, 947611, 947614, 947643, 947655, 947673, 947720, 947725, 947787, 947815, 947838, 947907, 947919, 947930, 947966, 947967, 947968, 947972, 947978, 948009, 948024, 948039, 948056, 948058, 948063, 948064, 948065, 948068, 948074, 948075, 948083, 948118, 948121, 948175, 948203, 948214, 948217, 948220, 948222, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948321, 948326, 948328, 948351, 948422, 948446, 948486, 948537, 948565, 948575, 948577, 948591, 948626, 948657, 948659, 948667, 948697, 948698, 948725, 948727, 948761, 948778, 948789, 948876, 948888, 948891, 948980, 948992, 949007, 949036, 949039, 949098, 949120, 1450304, 2847737
GO:0005887	CC	p	integral component of plasma membrane	100/1300	192/1997	0.0001211743376150397	4	100	0.0067453714605705435	944803, 944894, 944918, 944936, 945080, 945084, 945108, 945136, 945192, 945213, 945222, 945292, 945328, 945341, 945347, 945350, 945374, 945420, 945455, 945504, 945513, 945530, 945615, 945624, 945651, 945910, 945978, 946018, 946056, 946106, 946144, 946201, 946332, 946334, 946342, 946345, 946350, 946355, 946399, 946582, 946625, 946628, 946641, 946693, 946751, 946761, 946764, 946792, 946869, 946882, 946895, 946897, 946956, 946992, 947053, 947145, 947157, 947166, 947235, 947257, 947259, 947416, 947555, 947580, 947643, 947655, 947787, 947815, 947919, 947930, 947934, 947966, 948009, 948039, 948063, 948064, 948083, 948118, 948131, 948214, 948220, 948247, 948252, 948262, 948311, 948321, 948328, 948351, 948446, 948486, 948565, 948575, 948626, 948659, 948725, 948727, 948761, 948789, 948992, 949039
GO:0016021	CC	p	integral component of membrane	161/1300	291/1997	0.0001910705410214036	3	161	0.0079771950876436	944801, 944803, 944830, 944856, 944894, 944918, 944936, 944967, 945004, 945080, 945084, 945108, 945118, 945128, 945136, 945185, 945191, 945192, 945193, 945199, 945213, 945292, 945316, 945328, 945341, 945347, 945350, 945374, 945420, 945504, 945513, 945525, 945530, 945554, 945571, 945615, 945621, 945624, 945651, 945677, 945749, 945823, 945878, 945893, 945910, 945978, 946015, 946018, 946056, 946057, 946106, 946144, 946201, 946238, 946242, 946246, 946288, 946332, 946334, 946335, 946342, 946345, 946350, 946355, 946399, 946495, 946526, 946553, 946576, 946611, 946625, 946628, 946685, 946693, 946704, 946716, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946895, 946897, 946956, 946981, 946992, 947053, 947069, 947145, 947157, 947166, 947235, 947257, 947259, 947322, 947416, 947421, 947521, 947555, 947561, 947580, 947605, 947611, 947614, 947643, 947655, 947720, 947787, 947815, 947907, 947919, 947930, 947966, 947972, 948009, 948024, 948039, 948058, 948063, 948064, 948068, 948075, 948083, 948118, 948214, 948220, 948247, 948252, 948262, 948311, 948321, 948328, 948351, 948422, 948446, 948468, 948486, 948548, 948565, 948575, 948577, 948591, 948626, 948657, 948659, 948697, 948698, 948725, 948727, 948761, 948778, 948789, 948876, 948888, 948992, 949039, 949042, 949098, 949120
GO:0016020	CC	p	membrane	265/1300	457/1997	0.0003433433104981123	2	265	0.008191190407597823	944750, 944753, 944801, 944803, 944817, 944830, 944854, 944856, 944872, 944893, 944894, 944896, 944918, 944936, 944967, 945004, 945011, 945070, 945080, 945084, 945108, 945112, 945118, 945128, 945136, 945173, 945185, 945189, 945191, 945192, 945193, 945199, 945213, 945222, 945241, 945254, 945292, 945300, 945305, 945316, 945328, 945341, 945347, 945350, 945374, 945381, 945402, 945420, 945435, 945455, 945476, 945491, 945492, 945504, 945513, 945521, 945525, 945526, 945530, 945554, 945556, 945571, 945582, 945615, 945621, 945624, 945651, 945655, 945670, 945677, 945741, 945752, 945775, 945823, 945866, 945878, 945887, 945893, 945910, 945978, 945987, 946015, 946018, 946056, 946057, 946106, 946132, 946144, 946172, 946175, 946201, 946238, 946242, 946246, 946257, 946288, 946301, 946323, 946332, 946334, 946335, 946342, 946345, 946350, 946355, 946399, 946451, 946495, 946526, 946553, 946576, 946611, 946625, 946628, 946685, 946686, 946693, 946704, 946713, 946716, 946733, 946735, 946738, 946751, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946801, 946820, 946822, 946869, 946882, 946889, 946895, 946897, 946954, 946956, 946972, 946981, 946990, 946992, 946996, 947029, 947053, 947059, 947069, 947086, 947139, 947145, 947148, 947157, 947166, 947235, 947253, 947257, 947259, 947276, 947302, 947304, 947322, 947377, 947416, 947421, 947426, 947499, 947521, 947526, 947555, 947561, 947580, 947605, 947611, 947614, 947643, 947655, 947673, 947720, 947725, 947787, 947815, 947838, 947907, 947919, 947930, 947966, 947967, 947968, 947972, 947978, 948009, 948022, 948024, 948039, 948056, 948058, 948063, 948064, 948065, 948068, 948075, 948083, 948118, 948121, 948175, 948203, 948214, 948220, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948321, 948326, 948328, 948351, 948370, 948422, 948446, 948468, 948486, 948536, 948537, 948548, 948565, 948575, 948577, 948591, 948626, 948657, 948659, 948670, 948697, 948698, 948725, 948727, 948761, 948778, 948789, 948833, 948876, 948888, 948891, 948908, 948980, 948981, 948988, 948992, 949036, 949039, 949042, 949098, 949113, 949120, 1450304, 2847737
