# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005829	CC	e	cytosol	674/1474	826/1997	2.1660600135944946e-11	2	674	3.617320222702806e-09	944748, 944749, 944750, 944753, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944778, 944790, 944791, 944798, 944806, 944807, 944811, 944813, 944817, 944821, 944832, 944849, 944854, 944857, 944862, 944864, 944866, 944873, 944879, 944881, 944882, 944885, 944889, 944895, 944905, 944958, 944983, 944988, 944989, 944993, 945003, 945013, 945031, 945032, 945034, 945046, 945048, 945051, 945054, 945060, 945063, 945064, 945066, 945067, 945068, 945069, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945113, 945153, 945154, 945158, 945198, 945215, 945221, 945225, 945226, 945227, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945290, 945293, 945303, 945307, 945312, 945313, 945314, 945317, 945323, 945333, 945339, 945351, 945354, 945358, 945366, 945372, 945382, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945454, 945465, 945469, 945472, 945483, 945503, 945509, 945514, 945527, 945528, 945533, 945537, 945542, 945549, 945551, 945556, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945632, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945681, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945747, 945748, 945749, 945754, 945763, 945766, 945768, 945771, 945772, 945778, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945838, 945846, 945848, 945851, 945860, 945864, 945865, 945869, 945870, 945874, 945880, 945906, 945908, 945916, 945956, 945964, 945979, 945980, 946003, 946025, 946030, 946031, 946043, 946054, 946059, 946074, 946085, 946086, 946116, 946122, 946128, 946129, 946132, 946149, 946151, 946159, 946161, 946164, 946169, 946177, 946178, 946179, 946190, 946199, 946204, 946207, 946209, 946210, 946222, 946223, 946225, 946227, 946230, 946234, 946248, 946249, 946254, 946278, 946304, 946324, 946327, 946331, 946333, 946334, 946357, 946368, 946370, 946371, 946379, 946385, 946398, 946401, 946405, 946410, 946415, 946425, 946431, 946441, 946452, 946453, 946480, 946481, 946489, 946493, 946508, 946521, 946527, 946531, 946549, 946554, 946560, 946572, 946593, 946598, 946605, 946607, 946609, 946610, 946612, 946624, 946627, 946632, 946633, 946634, 946636, 946648, 946663, 946665, 946674, 946676, 946680, 946694, 946695, 946702, 946713, 946732, 946747, 946751, 946755, 946767, 946768, 946778, 946781, 946783, 946794, 946797, 946799, 946802, 946804, 946805, 946806, 946814, 946831, 946858, 946877, 946879, 946880, 946881, 946885, 946906, 946913, 946932, 946941, 946946, 946949, 946950, 946952, 946953, 946963, 946973, 946974, 946979, 946983, 946985, 946991, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947036, 947039, 947043, 947051, 947059, 947066, 947068, 947077, 947083, 947087, 947092, 947096, 947097, 947099, 947101, 947102, 947117, 947119, 947120, 947129, 947130, 947157, 947160, 947168, 947175, 947178, 947188, 947214, 947234, 947239, 947263, 947266, 947267, 947285, 947296, 947334, 947364, 947369, 947372, 947380, 947384, 947385, 947390, 947393, 947400, 947404, 947407, 947413, 947414, 947415, 947420, 947423, 947429, 947441, 947442, 947445, 947449, 947457, 947461, 947465, 947474, 947482, 947493, 947495, 947497, 947498, 947501, 947506, 947512, 947524, 947526, 947527, 947540, 947552, 947555, 947567, 947569, 947578, 947582, 947584, 947590, 947655, 947666, 947670, 947672, 947674, 947677, 947679, 947680, 947682, 947684, 947685, 947686, 947687, 947688, 947689, 947692, 947694, 947696, 947703, 947708, 947715, 947718, 947719, 947721, 947723, 947726, 947742, 947749, 947754, 947758, 947761, 947775, 947780, 947783, 947788, 947789, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947856, 947859, 947882, 947894, 947903, 947906, 947911, 947912, 947922, 947923, 947925, 947932, 947939, 947940, 947946, 947954, 947958, 947974, 947978, 948012, 948014, 948016, 948041, 948044, 948067, 948074, 948079, 948080, 948087, 948103, 948113, 948115, 948117, 948123, 948124, 948125, 948126, 948130, 948131, 948132, 948134, 948138, 948157, 948162, 948163, 948171, 948200, 948204, 948211, 948217, 948218, 948222, 948241, 948246, 948248, 948250, 948256, 948260, 948263, 948267, 948269, 948274, 948277, 948278, 948286, 948297, 948313, 948323, 948326, 948331, 948335, 948338, 948348, 948356, 948358, 948361, 948363, 948370, 948384, 948387, 948393, 948403, 948409, 948412, 948414, 948415, 948416, 948419, 948420, 948425, 948429, 948430, 948431, 948432, 948433, 948435, 948440, 948457, 948461, 948470, 948483, 948484, 948487, 948488, 948489, 948490, 948497, 948499, 948503, 948522, 948524, 948531, 948535, 948544, 948545, 948549, 948552, 948555, 948556, 948558, 948559, 948563, 948572, 948607, 948610, 948621, 948636, 948645, 948652, 948655, 948661, 948665, 948666, 948667, 948675, 948689, 948692, 948694, 948695, 948698, 948720, 948723, 948726, 948731, 948734, 948741, 948748, 948750, 948751, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948793, 948796, 948817, 948827, 948853, 948855, 948857, 948865, 948869, 948874, 948882, 948891, 948892, 948897, 948901, 948902, 948910, 948916, 948920, 948922, 948950, 948967, 948977, 948986, 948987, 949002, 949008, 949014, 949025, 949035, 949038, 949040, 949045, 949047, 949051, 949054, 949080, 949095, 949116, 949130, 1450243, 1450249, 2847759, 2847768
GO:0005737	CC	e	cytoplasm	492/1474	616/1997	3.4792949758048075e-05	2	492	0.002905211304797014	944748, 944750, 944753, 944761, 944762, 944775, 944786, 944791, 944794, 944798, 944806, 944811, 944813, 944816, 944818, 944821, 944832, 944838, 944844, 944849, 944852, 944854, 944862, 944866, 944873, 944879, 944882, 944885, 944888, 944889, 944895, 944901, 944905, 944923, 944925, 944927, 944938, 944943, 944953, 944958, 944986, 944988, 944989, 945003, 945031, 945032, 945034, 945046, 945064, 945067, 945069, 945081, 945082, 945085, 945097, 945099, 945101, 945113, 945149, 945215, 945225, 945227, 945229, 945237, 945239, 945260, 945271, 945272, 945281, 945290, 945293, 945313, 945323, 945339, 945351, 945354, 945358, 945366, 945376, 945382, 945383, 945385, 945387, 945389, 945425, 945437, 945449, 945451, 945454, 945456, 945465, 945469, 945472, 945514, 945527, 945528, 945533, 945536, 945548, 945549, 945550, 945555, 945556, 945564, 945566, 945567, 945570, 945574, 945605, 945611, 945631, 945641, 945663, 945667, 945669, 945681, 945687, 945690, 945693, 945697, 945702, 945748, 945752, 945758, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945807, 945824, 945829, 945834, 945839, 945842, 945864, 945880, 945908, 945979, 945987, 946003, 946030, 946043, 946069, 946074, 946106, 946117, 946122, 946128, 946147, 946153, 946161, 946165, 946169, 946178, 946179, 946185, 946199, 946204, 946222, 946223, 946225, 946234, 946240, 946249, 946278, 946304, 946324, 946327, 946333, 946334, 946348, 946358, 946371, 946379, 946385, 946401, 946410, 946425, 946430, 946431, 946434, 946452, 946480, 946481, 946489, 946493, 946521, 946527, 946531, 946544, 946549, 946552, 946605, 946610, 946624, 946632, 946633, 946674, 946677, 946680, 946690, 946702, 946732, 946768, 946771, 946772, 946778, 946781, 946794, 946796, 946799, 946800, 946802, 946815, 946850, 946858, 946877, 946879, 946880, 946888, 946906, 946913, 946946, 946949, 946950, 946952, 946973, 946988, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947036, 947039, 947041, 947050, 947059, 947067, 947077, 947081, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947114, 947115, 947130, 947144, 947155, 947170, 947175, 947178, 947188, 947210, 947211, 947230, 947234, 947271, 947283, 947284, 947285, 947289, 947296, 947324, 947362, 947369, 947372, 947384, 947385, 947386, 947393, 947404, 947413, 947414, 947429, 947439, 947445, 947457, 947474, 947495, 947497, 947498, 947524, 947528, 947532, 947544, 947560, 947567, 947572, 947578, 947582, 947590, 947615, 947639, 947664, 947666, 947672, 947674, 947679, 947680, 947682, 947684, 947685, 947688, 947689, 947694, 947703, 947708, 947709, 947721, 947725, 947726, 947742, 947744, 947753, 947754, 947758, 947761, 947783, 947789, 947794, 947838, 947847, 947848, 947853, 947854, 947859, 947864, 947894, 947909, 947916, 947922, 947923, 947927, 947934, 947935, 947940, 947954, 947955, 947968, 947974, 947978, 948007, 948014, 948016, 948044, 948074, 948079, 948080, 948087, 948103, 948115, 948123, 948124, 948125, 948126, 948130, 948132, 948138, 948141, 948157, 948158, 948163, 948178, 948192, 948200, 948211, 948217, 948218, 948221, 948222, 948233, 948241, 948246, 948248, 948250, 948256, 948260, 948267, 948285, 948286, 948310, 948324, 948326, 948346, 948349, 948356, 948360, 948361, 948370, 948384, 948393, 948403, 948409, 948412, 948414, 948415, 948419, 948420, 948424, 948429, 948430, 948433, 948434, 948435, 948456, 948461, 948463, 948464, 948470, 948479, 948496, 948497, 948499, 948512, 948513, 948520, 948522, 948531, 948535, 948545, 948556, 948559, 948563, 948610, 948645, 948652, 948655, 948660, 948661, 948665, 948675, 948684, 948692, 948694, 948695, 948706, 948710, 948726, 948734, 948748, 948750, 948751, 948752, 948753, 948762, 948766, 948767, 948771, 948773, 948774, 948853, 948855, 948857, 948865, 948869, 948874, 948891, 948892, 948897, 948899, 948902, 948909, 948910, 948913, 948922, 948950, 948967, 948987, 949002, 949025, 949035, 949038, 949040, 949054, 949060, 949065, 949116, 949130, 949131, 2847756, 2847759
GO:0005840	CC	e	ribosome	36/1474	37/1997	0.000237465004027649	5	36	0.013218885224205794	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
