# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005829	CC	e	cytosol	682/1502	826/1997	1.1493769768982577e-10	2	682	1.9194595514200904e-08	944744, 944748, 944749, 944750, 944759, 944760, 944762, 944774, 944775, 944777, 944778, 944790, 944791, 944796, 944798, 944807, 944813, 944817, 944821, 944832, 944839, 944840, 944849, 944854, 944857, 944862, 944864, 944865, 944866, 944873, 944879, 944882, 944885, 944889, 944895, 944939, 944958, 944988, 944993, 945003, 945013, 945017, 945031, 945032, 945034, 945046, 945048, 945051, 945054, 945060, 945063, 945064, 945066, 945067, 945068, 945074, 945076, 945081, 945083, 945085, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945154, 945158, 945184, 945198, 945215, 945220, 945221, 945225, 945226, 945227, 945235, 945237, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945283, 945284, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945351, 945358, 945366, 945372, 945378, 945382, 945387, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945465, 945469, 945470, 945472, 945483, 945503, 945509, 945514, 945517, 945527, 945533, 945535, 945539, 945542, 945549, 945551, 945553, 945556, 945568, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945632, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945681, 945686, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945744, 945747, 945748, 945749, 945754, 945756, 945763, 945764, 945766, 945768, 945771, 945772, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945840, 945846, 945848, 945854, 945860, 945862, 945864, 945865, 945869, 945870, 945874, 945876, 945880, 945887, 945908, 945916, 945964, 945978, 945979, 945980, 946003, 946025, 946030, 946031, 946043, 946054, 946074, 946084, 946086, 946116, 946128, 946129, 946132, 946149, 946151, 946159, 946162, 946169, 946177, 946178, 946179, 946199, 946204, 946207, 946209, 946210, 946222, 946223, 946225, 946230, 946249, 946278, 946304, 946315, 946324, 946327, 946331, 946333, 946334, 946357, 946364, 946367, 946368, 946370, 946371, 946379, 946380, 946384, 946385, 946393, 946398, 946405, 946410, 946425, 946431, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946541, 946549, 946551, 946554, 946556, 946560, 946593, 946598, 946605, 946607, 946609, 946610, 946612, 946614, 946624, 946627, 946632, 946633, 946634, 946636, 946643, 946648, 946663, 946665, 946674, 946676, 946691, 946694, 946702, 946713, 946733, 946751, 946755, 946767, 946768, 946778, 946781, 946783, 946794, 946802, 946804, 946805, 946806, 946814, 946837, 946841, 946877, 946879, 946880, 946881, 946885, 946903, 946906, 946913, 946924, 946926, 946941, 946946, 946949, 946950, 946952, 946953, 946957, 946960, 946963, 946969, 946973, 946974, 946975, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947033, 947039, 947051, 947055, 947059, 947066, 947068, 947072, 947077, 947083, 947087, 947092, 947096, 947097, 947099, 947101, 947102, 947117, 947120, 947121, 947129, 947143, 947157, 947160, 947168, 947175, 947178, 947188, 947214, 947234, 947239, 947263, 947267, 947273, 947285, 947296, 947334, 947364, 947369, 947372, 947376, 947380, 947384, 947390, 947393, 947394, 947400, 947404, 947407, 947413, 947414, 947415, 947420, 947423, 947426, 947429, 947441, 947442, 947449, 947457, 947461, 947465, 947482, 947493, 947495, 947497, 947498, 947499, 947506, 947512, 947524, 947540, 947552, 947567, 947569, 947578, 947582, 947584, 947590, 947655, 947666, 947670, 947672, 947674, 947677, 947679, 947680, 947682, 947684, 947685, 947686, 947687, 947688, 947691, 947692, 947694, 947696, 947703, 947708, 947715, 947717, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947745, 947754, 947758, 947761, 947776, 947779, 947780, 947783, 947788, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947856, 947859, 947882, 947894, 947903, 947906, 947912, 947922, 947923, 947925, 947932, 947939, 947940, 947944, 947946, 947954, 947958, 947978, 948012, 948014, 948016, 948041, 948074, 948079, 948080, 948103, 948113, 948115, 948117, 948123, 948124, 948126, 948130, 948131, 948132, 948134, 948139, 948157, 948162, 948163, 948183, 948200, 948211, 948217, 948225, 948241, 948246, 948260, 948267, 948269, 948274, 948277, 948278, 948286, 948290, 948297, 948299, 948313, 948323, 948325, 948327, 948335, 948338, 948348, 948356, 948358, 948361, 948370, 948403, 948406, 948409, 948412, 948414, 948415, 948416, 948419, 948423, 948425, 948427, 948429, 948430, 948431, 948432, 948433, 948435, 948457, 948462, 948470, 948477, 948483, 948484, 948485, 948487, 948488, 948489, 948497, 948499, 948501, 948503, 948522, 948524, 948531, 948535, 948542, 948544, 948545, 948549, 948553, 948555, 948556, 948558, 948563, 948570, 948572, 948607, 948610, 948621, 948636, 948645, 948655, 948661, 948665, 948666, 948674, 948675, 948688, 948689, 948692, 948694, 948698, 948720, 948723, 948724, 948726, 948731, 948734, 948741, 948748, 948750, 948751, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948785, 948793, 948796, 948855, 948865, 948869, 948872, 948874, 948887, 948891, 948892, 948897, 948901, 948902, 948910, 948916, 948920, 948922, 948924, 948930, 948950, 948967, 948977, 948986, 948987, 949002, 949008, 949014, 949025, 949031, 949035, 949038, 949040, 949045, 949047, 949051, 949080, 949085, 949095, 949116, 949130, 1450243, 1450249, 2847741, 2847759, 2847768
GO:0005737	CC	e	cytoplasm	500/1502	616/1997	3.210045773661786e-05	2	500	0.0017869254806717274	944748, 944750, 944762, 944775, 944786, 944791, 944794, 944798, 944813, 944816, 944818, 944821, 944832, 944838, 944839, 944840, 944844, 944849, 944852, 944854, 944862, 944865, 944866, 944873, 944879, 944882, 944885, 944888, 944889, 944895, 944901, 944919, 944923, 944925, 944938, 944939, 944943, 944953, 944958, 944986, 944988, 945003, 945031, 945032, 945034, 945046, 945064, 945067, 945081, 945085, 945097, 945099, 945101, 945104, 945113, 945149, 945181, 945184, 945211, 945215, 945225, 945227, 945229, 945237, 945260, 945271, 945272, 945281, 945293, 945295, 945310, 945313, 945323, 945332, 945351, 945358, 945366, 945376, 945382, 945383, 945385, 945387, 945389, 945425, 945449, 945451, 945456, 945465, 945469, 945472, 945510, 945514, 945517, 945527, 945533, 945535, 945536, 945539, 945548, 945549, 945550, 945553, 945555, 945556, 945564, 945566, 945567, 945568, 945570, 945574, 945605, 945611, 945631, 945641, 945663, 945667, 945669, 945681, 945683, 945686, 945687, 945690, 945693, 945697, 945702, 945748, 945752, 945756, 945758, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945824, 945829, 945834, 945839, 945864, 945880, 945887, 945904, 945908, 945979, 946003, 946030, 946043, 946071, 946074, 946084, 946092, 946106, 946117, 946128, 946147, 946165, 946169, 946173, 946178, 946179, 946185, 946199, 946204, 946222, 946223, 946225, 946240, 946249, 946278, 946304, 946324, 946327, 946333, 946334, 946348, 946358, 946367, 946371, 946379, 946385, 946393, 946410, 946424, 946425, 946430, 946431, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946605, 946610, 946614, 946624, 946626, 946632, 946633, 946643, 946674, 946677, 946690, 946691, 946702, 946768, 946771, 946772, 946778, 946781, 946794, 946796, 946800, 946802, 946815, 946837, 946841, 946850, 946877, 946879, 946880, 946888, 946892, 946906, 946913, 946946, 946949, 946950, 946952, 946969, 946973, 946975, 946988, 946989, 946993, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947033, 947039, 947041, 947050, 947055, 947059, 947077, 947081, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947114, 947115, 947121, 947144, 947149, 947155, 947170, 947175, 947178, 947188, 947203, 947211, 947230, 947234, 947253, 947271, 947283, 947284, 947285, 947289, 947296, 947301, 947362, 947369, 947372, 947384, 947393, 947404, 947413, 947414, 947429, 947439, 947457, 947495, 947497, 947498, 947499, 947524, 947528, 947532, 947544, 947560, 947567, 947578, 947582, 947590, 947615, 947639, 947664, 947666, 947672, 947674, 947679, 947680, 947682, 947684, 947685, 947688, 947691, 947694, 947703, 947708, 947709, 947721, 947725, 947726, 947742, 947744, 947753, 947754, 947758, 947761, 947783, 947794, 947821, 947838, 947847, 947848, 947853, 947854, 947859, 947864, 947881, 947894, 947909, 947916, 947922, 947923, 947927, 947934, 947935, 947940, 947954, 947955, 947968, 947978, 948007, 948014, 948016, 948074, 948079, 948080, 948103, 948115, 948119, 948123, 948124, 948126, 948130, 948132, 948139, 948141, 948157, 948158, 948163, 948200, 948211, 948217, 948221, 948233, 948241, 948246, 948260, 948267, 948285, 948286, 948290, 948310, 948324, 948346, 948349, 948355, 948356, 948360, 948361, 948362, 948370, 948403, 948409, 948412, 948414, 948415, 948419, 948424, 948429, 948430, 948433, 948434, 948435, 948455, 948456, 948463, 948464, 948470, 948479, 948496, 948497, 948499, 948502, 948512, 948513, 948520, 948522, 948523, 948531, 948535, 948545, 948556, 948563, 948566, 948610, 948645, 948655, 948660, 948661, 948665, 948670, 948674, 948675, 948684, 948688, 948692, 948694, 948706, 948710, 948724, 948726, 948734, 948748, 948750, 948751, 948752, 948753, 948762, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948855, 948865, 948869, 948874, 948891, 948892, 948894, 948897, 948899, 948902, 948909, 948910, 948913, 948917, 948922, 948950, 948967, 948971, 948987, 949002, 949020, 949025, 949035, 949038, 949040, 949060, 949065, 949116, 949130, 2847759
GO:0005840	CC	e	ribosome	36/1502	37/1997	0.0007191341271016198	5	36	0.017156485603710074	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948720, 948723
GO:0016021	CC	p	integral component of membrane	188/1502	291/1997	1.3102426354672664e-05	3	188	0.0010940526006151675	944803, 944815, 944822, 944830, 944843, 944876, 944894, 944918, 944936, 944967, 944994, 945004, 945055, 945080, 945084, 945102, 945143, 945185, 945191, 945193, 945199, 945213, 945228, 945240, 945292, 945316, 945322, 945324, 945341, 945374, 945401, 945420, 945530, 945540, 945554, 945571, 945602, 945615, 945621, 945624, 945649, 945651, 945673, 945677, 945749, 945755, 945790, 945810, 945823, 945841, 945843, 945858, 945883, 945893, 945910, 945978, 946015, 946018, 946056, 946076, 946106, 946144, 946201, 946228, 946238, 946242, 946246, 946281, 946288, 946332, 946334, 946335, 946342, 946344, 946345, 946350, 946355, 946427, 946487, 946495, 946540, 946553, 946566, 946625, 946628, 946672, 946678, 946685, 946693, 946704, 946705, 946716, 946717, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946895, 946897, 946956, 946981, 947040, 947053, 947069, 947094, 947135, 947145, 947157, 947235, 947264, 947303, 947416, 947421, 947521, 947561, 947580, 947605, 947614, 947643, 947655, 947668, 947712, 947720, 947731, 947787, 947799, 947815, 947865, 947887, 947905, 947907, 947919, 947930, 947966, 947969, 948009, 948032, 948033, 948039, 948043, 948058, 948063, 948064, 948075, 948083, 948118, 948148, 948214, 948220, 948224, 948252, 948319, 948328, 948351, 948395, 948405, 948422, 948446, 948458, 948468, 948486, 948548, 948575, 948577, 948591, 948626, 948659, 948697, 948698, 948725, 948727, 948733, 948735, 948870, 948876, 948888, 948914, 948992, 949042, 949048, 949098, 949105, 949120, 949133, 2847743
GO:0005886	CC	p	plasma membrane	279/1502	413/1997	9.039799601568033e-05	3	279	0.0037741163336546535	944750, 944778, 944803, 944815, 944817, 944821, 944822, 944830, 944833, 944843, 944854, 944876, 944893, 944894, 944896, 944918, 944936, 944994, 945055, 945070, 945080, 945084, 945099, 945102, 945112, 945143, 945184, 945191, 945199, 945201, 945213, 945222, 945228, 945240, 945292, 945300, 945305, 945316, 945322, 945324, 945341, 945362, 945368, 945374, 945401, 945402, 945420, 945435, 945455, 945476, 945489, 945491, 945521, 945530, 945540, 945556, 945566, 945600, 945602, 945615, 945621, 945624, 945641, 945651, 945670, 945673, 945677, 945693, 945740, 945741, 945752, 945755, 945790, 945802, 945810, 945818, 945823, 945841, 945843, 945858, 945866, 945883, 945887, 945893, 945909, 945910, 945978, 946018, 946056, 946076, 946096, 946106, 946132, 946137, 946144, 946172, 946178, 946201, 946215, 946228, 946238, 946281, 946312, 946321, 946323, 946327, 946332, 946334, 946335, 946342, 946344, 946345, 946350, 946355, 946422, 946431, 946451, 946454, 946487, 946495, 946553, 946555, 946566, 946582, 946604, 946625, 946628, 946653, 946672, 946677, 946678, 946685, 946693, 946704, 946705, 946713, 946717, 946733, 946738, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946889, 946895, 946897, 947011, 947040, 947051, 947053, 947059, 947069, 947094, 947135, 947139, 947145, 947148, 947157, 947235, 947253, 947264, 947271, 947276, 947303, 947304, 947377, 947404, 947415, 947416, 947421, 947499, 947561, 947580, 947605, 947614, 947643, 947655, 947668, 947673, 947712, 947720, 947725, 947729, 947731, 947787, 947788, 947799, 947815, 947838, 947865, 947887, 947905, 947907, 947919, 947930, 947966, 947968, 947969, 947978, 948003, 948009, 948032, 948033, 948039, 948043, 948056, 948058, 948063, 948064, 948074, 948075, 948083, 948118, 948121, 948129, 948148, 948175, 948203, 948214, 948217, 948220, 948224, 948240, 948242, 948243, 948244, 948245, 948252, 948254, 948264, 948319, 948328, 948351, 948395, 948405, 948422, 948446, 948458, 948486, 948537, 948541, 948575, 948577, 948591, 948626, 948659, 948673, 948697, 948698, 948725, 948727, 948728, 948735, 948870, 948876, 948888, 948891, 948914, 948980, 948992, 949007, 949048, 949082, 949098, 949105, 949120, 949133, 1450304, 2847737, 2847743
GO:0005887	CC	p	integral component of plasma membrane	122/1502	192/1997	0.00014562225748595325	4	122	0.004863783400030838	944803, 944815, 944821, 944822, 944843, 944894, 944918, 944936, 944964, 944994, 945080, 945084, 945102, 945143, 945213, 945222, 945228, 945240, 945292, 945341, 945374, 945420, 945455, 945530, 945540, 945602, 945615, 945624, 945651, 945673, 945755, 945790, 945858, 945883, 945910, 945978, 946018, 946056, 946106, 946144, 946201, 946228, 946281, 946332, 946334, 946342, 946344, 946345, 946350, 946355, 946582, 946625, 946628, 946641, 946653, 946672, 946678, 946693, 946717, 946751, 946761, 946764, 946792, 946869, 946882, 946895, 946897, 946956, 947040, 947053, 947135, 947145, 947157, 947235, 947264, 947303, 947416, 947580, 947643, 947655, 947712, 947731, 947787, 947799, 947815, 947905, 947919, 947930, 947934, 947966, 948003, 948009, 948033, 948039, 948043, 948063, 948064, 948083, 948118, 948131, 948148, 948214, 948220, 948224, 948252, 948319, 948328, 948351, 948446, 948486, 948541, 948575, 948626, 948659, 948725, 948727, 948870, 948914, 948992, 949048, 949105, 2847743
GO:0016020	CC	p	membrane	315/1502	457/1997	0.0005384698928362924	2	315	0.014987412017276805	944750, 944778, 944803, 944815, 944817, 944821, 944822, 944830, 944843, 944854, 944872, 944876, 944893, 944894, 944896, 944918, 944936, 944964, 944967, 944994, 945004, 945011, 945055, 945070, 945080, 945084, 945099, 945102, 945112, 945143, 945173, 945185, 945189, 945191, 945193, 945199, 945201, 945213, 945222, 945228, 945240, 945292, 945300, 945305, 945316, 945322, 945324, 945341, 945362, 945368, 945374, 945401, 945402, 945420, 945428, 945435, 945455, 945476, 945489, 945491, 945492, 945494, 945521, 945530, 945540, 945554, 945556, 945571, 945582, 945583, 945602, 945615, 945621, 945624, 945641, 945649, 945651, 945655, 945670, 945673, 945677, 945693, 945741, 945752, 945755, 945775, 945790, 945802, 945810, 945818, 945823, 945841, 945843, 945858, 945866, 945883, 945887, 945893, 945910, 945978, 946015, 946018, 946056, 946076, 946096, 946106, 946132, 946137, 946144, 946172, 946175, 946201, 946228, 946238, 946242, 946246, 946257, 946281, 946288, 946301, 946312, 946321, 946323, 946327, 946332, 946334, 946335, 946342, 946344, 946345, 946350, 946355, 946422, 946427, 946451, 946454, 946487, 946495, 946525, 946540, 946553, 946555, 946566, 946604, 946625, 946628, 946653, 946672, 946678, 946685, 946686, 946693, 946704, 946705, 946713, 946716, 946717, 946733, 946738, 946751, 946757, 946759, 946761, 946762, 946764, 946782, 946789, 946792, 946801, 946820, 946822, 946869, 946882, 946889, 946895, 946897, 946954, 946956, 946981, 946982, 947011, 947029, 947040, 947051, 947053, 947059, 947069, 947086, 947094, 947135, 947139, 947145, 947148, 947157, 947184, 947235, 947253, 947264, 947271, 947276, 947303, 947304, 947377, 947416, 947421, 947426, 947499, 947521, 947561, 947580, 947605, 947614, 947643, 947655, 947668, 947673, 947712, 947720, 947725, 947729, 947731, 947787, 947788, 947799, 947815, 947838, 947865, 947887, 947905, 947907, 947919, 947930, 947966, 947968, 947969, 947978, 948003, 948009, 948022, 948032, 948033, 948039, 948043, 948056, 948058, 948063, 948064, 948075, 948083, 948118, 948121, 948148, 948175, 948203, 948214, 948220, 948224, 948240, 948242, 948243, 948244, 948245, 948252, 948254, 948264, 948319, 948328, 948351, 948370, 948395, 948405, 948422, 948446, 948458, 948468, 948486, 948536, 948537, 948541, 948548, 948575, 948577, 948591, 948626, 948659, 948670, 948673, 948697, 948698, 948725, 948727, 948728, 948733, 948735, 948870, 948876, 948888, 948891, 948908, 948914, 948980, 948981, 948988, 948992, 949042, 949048, 949082, 949098, 949105, 949113, 949120, 949133, 1450304, 2847737, 2847743
GO:0098561	CC	p	methyl accepting chemotaxis protein complex	0/1502	5/1997	0.0009215347306954323	2	0	0.01923703750326715	
