# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005829	CC	e	cytosol	724/1605	826/1997	3.157449972797997e-12	2	724	5.272941454572654e-10	944744, 944748, 944749, 944750, 944753, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944778, 944790, 944791, 944796, 944798, 944807, 944811, 944813, 944821, 944832, 944839, 944840, 944849, 944854, 944857, 944862, 944864, 944866, 944877, 944881, 944882, 944885, 944895, 944905, 944939, 944958, 944983, 944988, 944989, 944993, 945003, 945013, 945017, 945031, 945032, 945034, 945048, 945051, 945054, 945063, 945064, 945066, 945067, 945068, 945069, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945154, 945158, 945184, 945198, 945215, 945220, 945221, 945225, 945226, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945283, 945284, 945290, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945317, 945323, 945339, 945351, 945357, 945358, 945372, 945378, 945382, 945389, 945396, 945398, 945399, 945412, 945424, 945425, 945432, 945454, 945465, 945469, 945470, 945472, 945483, 945503, 945506, 945509, 945514, 945517, 945527, 945528, 945533, 945535, 945537, 945542, 945549, 945551, 945553, 945556, 945568, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945632, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945676, 945686, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945747, 945748, 945749, 945754, 945756, 945764, 945766, 945768, 945771, 945772, 945778, 945785, 945787, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945838, 945840, 945846, 945851, 945854, 945860, 945862, 945864, 945865, 945869, 945870, 945874, 945876, 945880, 945887, 945906, 945908, 945916, 945964, 945978, 945979, 945980, 946003, 946025, 946030, 946031, 946043, 946054, 946074, 946085, 946086, 946116, 946122, 946128, 946132, 946149, 946151, 946159, 946161, 946162, 946164, 946169, 946177, 946178, 946179, 946190, 946199, 946204, 946209, 946210, 946222, 946223, 946225, 946230, 946248, 946249, 946254, 946278, 946304, 946315, 946324, 946327, 946331, 946333, 946334, 946364, 946367, 946368, 946370, 946371, 946379, 946380, 946385, 946393, 946398, 946405, 946410, 946415, 946425, 946431, 946441, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946531, 946538, 946541, 946549, 946551, 946554, 946560, 946572, 946593, 946598, 946605, 946607, 946609, 946610, 946612, 946624, 946627, 946632, 946633, 946634, 946636, 946643, 946648, 946663, 946665, 946674, 946676, 946680, 946694, 946702, 946713, 946724, 946732, 946733, 946747, 946751, 946755, 946767, 946768, 946775, 946778, 946781, 946783, 946785, 946794, 946799, 946802, 946804, 946805, 946806, 946831, 946841, 946858, 946877, 946879, 946880, 946881, 946903, 946906, 946913, 946924, 946926, 946932, 946941, 946949, 946953, 946957, 946960, 946963, 946973, 946974, 946975, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947039, 947043, 947051, 947062, 947066, 947068, 947072, 947077, 947083, 947087, 947089, 947092, 947096, 947097, 947099, 947101, 947102, 947117, 947120, 947121, 947129, 947130, 947157, 947160, 947168, 947175, 947178, 947188, 947206, 947214, 947234, 947239, 947263, 947266, 947273, 947285, 947296, 947306, 947334, 947364, 947369, 947372, 947380, 947385, 947390, 947393, 947394, 947400, 947404, 947407, 947413, 947414, 947415, 947420, 947423, 947426, 947429, 947441, 947442, 947445, 947449, 947457, 947461, 947465, 947474, 947482, 947493, 947495, 947497, 947498, 947499, 947501, 947506, 947512, 947519, 947524, 947526, 947527, 947540, 947552, 947555, 947567, 947569, 947578, 947582, 947584, 947590, 947655, 947666, 947670, 947672, 947674, 947677, 947679, 947680, 947682, 947684, 947686, 947687, 947688, 947689, 947691, 947692, 947694, 947696, 947703, 947708, 947715, 947717, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947749, 947754, 947758, 947759, 947761, 947775, 947779, 947780, 947783, 947788, 947789, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947856, 947859, 947882, 947894, 947895, 947903, 947906, 947911, 947912, 947923, 947925, 947932, 947939, 947944, 947946, 947954, 947958, 947974, 947978, 948012, 948014, 948016, 948027, 948041, 948044, 948067, 948074, 948079, 948080, 948087, 948103, 948115, 948117, 948123, 948125, 948126, 948130, 948131, 948132, 948134, 948138, 948147, 948154, 948157, 948159, 948162, 948163, 948183, 948200, 948211, 948217, 948218, 948225, 948241, 948246, 948248, 948256, 948263, 948267, 948269, 948274, 948277, 948278, 948286, 948290, 948292, 948297, 948313, 948323, 948325, 948335, 948338, 948347, 948348, 948356, 948358, 948361, 948363, 948370, 948384, 948387, 948403, 948404, 948406, 948409, 948412, 948414, 948415, 948416, 948419, 948420, 948423, 948425, 948429, 948430, 948431, 948432, 948433, 948435, 948440, 948457, 948461, 948462, 948470, 948477, 948483, 948484, 948487, 948488, 948489, 948490, 948497, 948498, 948499, 948522, 948524, 948531, 948535, 948542, 948544, 948545, 948549, 948552, 948553, 948555, 948556, 948558, 948559, 948563, 948570, 948572, 948585, 948607, 948610, 948621, 948636, 948645, 948652, 948655, 948658, 948661, 948665, 948666, 948674, 948675, 948689, 948692, 948694, 948698, 948720, 948723, 948724, 948726, 948731, 948734, 948741, 948748, 948750, 948751, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948785, 948817, 948823, 948827, 948855, 948857, 948865, 948869, 948872, 948874, 948887, 948891, 948892, 948897, 948901, 948902, 948910, 948916, 948920, 948922, 948924, 948930, 948950, 948967, 948977, 948986, 948987, 949002, 949008, 949014, 949025, 949031, 949035, 949038, 949040, 949045, 949047, 949051, 949054, 949080, 949085, 949086, 949095, 949116, 949130, 1450249, 2847741, 2847759, 2847768
GO:0005840	CC	e	ribosome	37/1605	37/1997	0.000508268110668124	5	37	0.021220193620394175	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005886	CC	p	plasma membrane	299/1605	413/1997	1.0620221187074668e-05	3	299	0.0008867884691207347	944750, 944778, 944799, 944803, 944814, 944815, 944821, 944822, 944830, 944833, 944843, 944854, 944871, 944876, 944893, 944894, 944918, 944936, 944971, 944994, 945055, 945070, 945080, 945084, 945099, 945102, 945108, 945112, 945136, 945184, 945191, 945192, 945199, 945201, 945213, 945228, 945254, 945300, 945305, 945316, 945322, 945328, 945341, 945347, 945350, 945368, 945374, 945401, 945402, 945414, 945420, 945435, 945455, 945457, 945460, 945476, 945489, 945491, 945496, 945513, 945521, 945525, 945530, 945540, 945556, 945566, 945585, 945594, 945600, 945641, 945651, 945660, 945665, 945677, 945680, 945691, 945693, 945740, 945741, 945752, 945755, 945802, 945818, 945821, 945823, 945835, 945841, 945844, 945858, 945866, 945878, 945883, 945887, 945893, 945898, 945909, 945910, 945978, 945987, 945995, 946018, 946033, 946056, 946057, 946076, 946096, 946106, 946132, 946144, 946172, 946178, 946201, 946215, 946228, 946238, 946281, 946290, 946312, 946321, 946323, 946327, 946332, 946334, 946335, 946342, 946345, 946350, 946355, 946422, 946431, 946448, 946471, 946487, 946495, 946553, 946566, 946576, 946625, 946628, 946653, 946672, 946677, 946678, 946685, 946693, 946704, 946713, 946717, 946733, 946738, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946884, 946889, 946895, 946897, 946970, 946971, 946990, 946992, 947011, 947051, 947053, 947069, 947094, 947135, 947139, 947145, 947148, 947157, 947235, 947253, 947257, 947271, 947276, 947302, 947303, 947322, 947377, 947404, 947415, 947416, 947496, 947499, 947526, 947561, 947580, 947605, 947611, 947614, 947643, 947655, 947668, 947673, 947690, 947712, 947720, 947722, 947725, 947729, 947731, 947787, 947788, 947799, 947815, 947838, 947887, 947905, 947930, 947966, 947968, 947969, 947972, 947978, 947990, 948003, 948030, 948031, 948032, 948039, 948043, 948048, 948056, 948058, 948063, 948064, 948065, 948068, 948074, 948075, 948118, 948121, 948148, 948175, 948203, 948214, 948217, 948220, 948224, 948240, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948311, 948319, 948322, 948328, 948351, 948422, 948428, 948458, 948486, 948537, 948541, 948575, 948577, 948626, 948659, 948673, 948698, 948725, 948727, 948728, 948735, 948742, 948795, 948870, 948876, 948891, 948900, 948914, 948980, 949007, 949036, 949052, 949082, 949098, 949105, 949120, 1450304, 2847737, 2847743
GO:0016021	CC	p	integral component of membrane	210/1605	291/1997	0.00022893223694665581	3	210	0.01274389452336384	944799, 944803, 944814, 944815, 944822, 944830, 944843, 944856, 944870, 944871, 944876, 944894, 944918, 944936, 944967, 944971, 944994, 945004, 945055, 945080, 945084, 945102, 945108, 945136, 945191, 945192, 945193, 945199, 945213, 945228, 945316, 945322, 945328, 945341, 945347, 945350, 945374, 945401, 945420, 945460, 945496, 945513, 945525, 945530, 945540, 945554, 945571, 945585, 945594, 945649, 945651, 945660, 945665, 945677, 945680, 945691, 945749, 945755, 945821, 945823, 945841, 945844, 945858, 945878, 945883, 945893, 945898, 945910, 945978, 945995, 946018, 946033, 946056, 946057, 946076, 946106, 946144, 946201, 946228, 946238, 946242, 946246, 946281, 946288, 946290, 946332, 946334, 946335, 946342, 946345, 946350, 946355, 946427, 946448, 946471, 946487, 946495, 946540, 946553, 946566, 946576, 946625, 946628, 946672, 946678, 946685, 946693, 946704, 946716, 946717, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946884, 946895, 946897, 946956, 946981, 946992, 947053, 947069, 947094, 947135, 947145, 947157, 947235, 947257, 947303, 947322, 947416, 947521, 947555, 947561, 947580, 947605, 947611, 947614, 947643, 947655, 947668, 947690, 947712, 947720, 947722, 947731, 947787, 947799, 947815, 947887, 947905, 947930, 947966, 947969, 947972, 947990, 948030, 948032, 948039, 948043, 948048, 948058, 948063, 948064, 948068, 948075, 948118, 948148, 948214, 948220, 948224, 948247, 948252, 948262, 948307, 948311, 948319, 948322, 948328, 948351, 948422, 948428, 948458, 948468, 948486, 948548, 948575, 948577, 948626, 948659, 948698, 948725, 948727, 948733, 948735, 948742, 948795, 948870, 948876, 948900, 948914, 949042, 949052, 949098, 949105, 949120, 2847743
GO:0005887	CC	p	integral component of plasma membrane	136/1605	192/1997	0.0007823030869021379	4	136	0.026128923102531405	944799, 944803, 944814, 944815, 944821, 944822, 944843, 944871, 944894, 944918, 944936, 944971, 944994, 945080, 945084, 945102, 945108, 945136, 945192, 945213, 945228, 945328, 945341, 945347, 945350, 945374, 945420, 945455, 945457, 945460, 945513, 945530, 945540, 945651, 945660, 945665, 945691, 945755, 945858, 945883, 945898, 945910, 945978, 945995, 946018, 946033, 946056, 946106, 946144, 946201, 946228, 946281, 946332, 946334, 946342, 946345, 946350, 946355, 946625, 946628, 946641, 946653, 946672, 946678, 946693, 946717, 946751, 946761, 946764, 946792, 946869, 946882, 946884, 946895, 946897, 946956, 946992, 947053, 947135, 947145, 947157, 947235, 947257, 947303, 947416, 947496, 947555, 947580, 947643, 947655, 947690, 947712, 947722, 947731, 947787, 947799, 947815, 947905, 947930, 947934, 947966, 947990, 948003, 948039, 948043, 948063, 948064, 948118, 948131, 948148, 948214, 948220, 948224, 948247, 948252, 948262, 948311, 948319, 948328, 948351, 948428, 948486, 948541, 948575, 948626, 948659, 948725, 948727, 948742, 948870, 948900, 948914, 949052, 949105, 2847740, 2847743
GO:0016020	CC	p	membrane	342/1605	457/1997	0.0009894394581738165	2	342	0.027539398252504562	944750, 944753, 944778, 944799, 944803, 944814, 944815, 944821, 944822, 944830, 944843, 944854, 944856, 944870, 944871, 944872, 944876, 944893, 944894, 944918, 944936, 944967, 944971, 944994, 945004, 945011, 945055, 945070, 945080, 945084, 945099, 945102, 945108, 945112, 945136, 945173, 945189, 945191, 945192, 945193, 945199, 945201, 945213, 945228, 945254, 945300, 945305, 945316, 945322, 945328, 945341, 945347, 945350, 945368, 945374, 945401, 945402, 945420, 945428, 945435, 945455, 945457, 945460, 945476, 945489, 945491, 945492, 945494, 945496, 945513, 945521, 945525, 945530, 945540, 945554, 945556, 945571, 945582, 945583, 945585, 945594, 945604, 945641, 945649, 945651, 945655, 945660, 945665, 945677, 945680, 945691, 945693, 945741, 945752, 945755, 945775, 945802, 945818, 945821, 945823, 945841, 945844, 945858, 945866, 945878, 945883, 945887, 945893, 945898, 945910, 945978, 945987, 945995, 946018, 946033, 946056, 946057, 946076, 946096, 946106, 946132, 946144, 946172, 946175, 946201, 946228, 946238, 946242, 946246, 946257, 946281, 946288, 946290, 946301, 946312, 946321, 946323, 946327, 946332, 946334, 946335, 946342, 946345, 946350, 946355, 946422, 946427, 946448, 946471, 946487, 946495, 946525, 946540, 946553, 946566, 946576, 946625, 946628, 946653, 946672, 946678, 946685, 946686, 946693, 946704, 946713, 946716, 946717, 946733, 946738, 946751, 946757, 946759, 946761, 946762, 946764, 946782, 946789, 946792, 946801, 946820, 946822, 946869, 946882, 946884, 946889, 946895, 946897, 946954, 946956, 946970, 946971, 946981, 946982, 946990, 946992, 946996, 947011, 947029, 947051, 947053, 947069, 947086, 947094, 947135, 947139, 947145, 947148, 947157, 947184, 947235, 947253, 947257, 947271, 947276, 947302, 947303, 947322, 947377, 947416, 947426, 947496, 947499, 947521, 947526, 947555, 947561, 947580, 947605, 947611, 947614, 947643, 947655, 947663, 947668, 947673, 947690, 947712, 947720, 947722, 947725, 947729, 947731, 947787, 947788, 947799, 947815, 947838, 947887, 947905, 947930, 947966, 947968, 947969, 947972, 947978, 947990, 948003, 948022, 948030, 948031, 948032, 948039, 948043, 948048, 948056, 948058, 948063, 948064, 948065, 948068, 948075, 948118, 948121, 948147, 948148, 948175, 948203, 948214, 948220, 948224, 948240, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948262, 948264, 948307, 948311, 948319, 948322, 948328, 948351, 948370, 948422, 948428, 948458, 948468, 948486, 948536, 948537, 948541, 948548, 948575, 948577, 948626, 948659, 948670, 948673, 948698, 948725, 948727, 948728, 948733, 948735, 948742, 948795, 948833, 948870, 948876, 948891, 948900, 948908, 948914, 948980, 948981, 948988, 949036, 949042, 949052, 949082, 949098, 949105, 949113, 949120, 1450304, 2847737, 2847743
