# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007165	BP	p	signal transduction	6/1489	20/1997	3.3025068755471595e-05	4	6	0.04854685107054325	945978, 947285, 947887, 948360, 948870, 949113
GO:0005829	CC	e	cytosol	684/1489	826/1997	6.829760602322829e-13	2	684	1.1405700205879123e-10	944744, 944748, 944749, 944750, 944753, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944789, 944790, 944791, 944796, 944806, 944807, 944811, 944817, 944821, 944832, 944839, 944840, 944849, 944854, 944857, 944862, 944864, 944865, 944866, 944879, 944885, 944889, 944895, 944905, 944939, 944958, 944983, 944988, 944989, 944993, 945003, 945013, 945017, 945031, 945032, 945046, 945048, 945051, 945054, 945060, 945063, 945064, 945066, 945067, 945068, 945069, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945113, 945153, 945154, 945158, 945184, 945198, 945215, 945220, 945221, 945225, 945226, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945282, 945283, 945284, 945288, 945290, 945293, 945295, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945339, 945354, 945357, 945358, 945366, 945372, 945378, 945382, 945389, 945396, 945398, 945399, 945424, 945425, 945432, 945454, 945465, 945472, 945483, 945503, 945506, 945509, 945514, 945527, 945528, 945533, 945535, 945539, 945542, 945551, 945553, 945556, 945574, 945600, 945605, 945609, 945611, 945612, 945618, 945632, 945637, 945642, 945645, 945650, 945651, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945681, 945686, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945747, 945748, 945749, 945754, 945763, 945766, 945768, 945771, 945772, 945785, 945787, 945794, 945824, 945827, 945829, 945834, 945837, 945838, 945840, 945846, 945848, 945851, 945854, 945855, 945860, 945862, 945865, 945869, 945870, 945874, 945876, 945880, 945887, 945906, 945908, 945916, 945964, 945978, 945979, 945980, 946003, 946030, 946031, 946043, 946054, 946058, 946059, 946073, 946074, 946084, 946085, 946086, 946116, 946128, 946129, 946132, 946151, 946159, 946161, 946162, 946164, 946169, 946177, 946178, 946179, 946204, 946207, 946209, 946210, 946223, 946225, 946227, 946230, 946234, 946248, 946249, 946254, 946278, 946304, 946324, 946327, 946331, 946333, 946334, 946357, 946364, 946367, 946368, 946370, 946371, 946379, 946380, 946384, 946385, 946393, 946398, 946405, 946410, 946415, 946425, 946431, 946441, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946538, 946541, 946549, 946551, 946556, 946560, 946572, 946593, 946597, 946598, 946605, 946607, 946609, 946610, 946614, 946624, 946627, 946632, 946633, 946636, 946643, 946648, 946663, 946665, 946674, 946680, 946691, 946694, 946702, 946713, 946724, 946733, 946747, 946751, 946755, 946767, 946768, 946775, 946778, 946781, 946783, 946785, 946794, 946799, 946802, 946804, 946805, 946806, 946814, 946831, 946858, 946877, 946879, 946880, 946881, 946903, 946906, 946913, 946926, 946932, 946941, 946946, 946950, 946952, 946953, 946957, 946960, 946963, 946974, 946979, 946983, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947033, 947036, 947039, 947043, 947049, 947051, 947055, 947059, 947066, 947068, 947072, 947077, 947083, 947087, 947089, 947092, 947097, 947099, 947101, 947102, 947117, 947119, 947120, 947129, 947130, 947143, 947157, 947160, 947168, 947175, 947178, 947188, 947206, 947234, 947239, 947263, 947266, 947285, 947306, 947318, 947334, 947364, 947369, 947372, 947376, 947380, 947384, 947385, 947390, 947393, 947400, 947404, 947407, 947413, 947415, 947420, 947423, 947426, 947429, 947441, 947442, 947445, 947449, 947457, 947461, 947465, 947474, 947482, 947493, 947495, 947497, 947498, 947499, 947506, 947512, 947519, 947524, 947526, 947540, 947552, 947555, 947567, 947569, 947578, 947582, 947584, 947590, 947655, 947666, 947670, 947672, 947674, 947677, 947679, 947682, 947684, 947686, 947687, 947688, 947692, 947694, 947703, 947708, 947715, 947717, 947718, 947719, 947721, 947724, 947726, 947749, 947754, 947761, 947775, 947776, 947779, 947780, 947783, 947788, 947791, 947792, 947794, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947854, 947856, 947859, 947882, 947903, 947906, 947911, 947912, 947923, 947925, 947932, 947939, 947940, 947944, 947946, 947954, 947958, 947974, 947978, 948012, 948014, 948027, 948041, 948044, 948067, 948079, 948080, 948087, 948103, 948115, 948117, 948123, 948125, 948126, 948130, 948131, 948132, 948134, 948138, 948139, 948154, 948157, 948162, 948163, 948183, 948200, 948217, 948218, 948225, 948241, 948250, 948256, 948263, 948274, 948277, 948278, 948286, 948297, 948313, 948321, 948323, 948325, 948331, 948338, 948348, 948356, 948358, 948363, 948370, 948387, 948393, 948403, 948409, 948412, 948414, 948415, 948416, 948419, 948420, 948425, 948427, 948429, 948430, 948431, 948432, 948435, 948440, 948457, 948461, 948462, 948470, 948477, 948483, 948484, 948487, 948489, 948490, 948497, 948498, 948499, 948503, 948522, 948531, 948535, 948542, 948545, 948549, 948553, 948555, 948556, 948558, 948559, 948563, 948570, 948572, 948585, 948607, 948621, 948636, 948652, 948655, 948661, 948665, 948666, 948674, 948675, 948688, 948689, 948692, 948694, 948695, 948698, 948720, 948723, 948724, 948726, 948731, 948734, 948741, 948748, 948750, 948751, 948753, 948766, 948767, 948771, 948773, 948777, 948785, 948796, 948817, 948823, 948855, 948857, 948865, 948872, 948874, 948878, 948887, 948891, 948892, 948897, 948901, 948902, 948910, 948922, 948930, 948967, 948977, 948986, 948987, 949002, 949008, 949014, 949025, 949035, 949038, 949040, 949051, 949054, 949080, 949085, 949086, 949095, 949116, 949130, 1450249, 2847741, 2847759, 2847768
GO:0005737	CC	e	cytoplasm	490/1489	616/1997	0.0006790029883358688	2	490	0.018898916508681682	944748, 944750, 944753, 944761, 944762, 944775, 944786, 944789, 944791, 944794, 944806, 944810, 944811, 944816, 944818, 944821, 944832, 944838, 944839, 944840, 944844, 944849, 944852, 944854, 944862, 944865, 944866, 944879, 944885, 944889, 944895, 944901, 944905, 944919, 944923, 944925, 944938, 944939, 944943, 944958, 944986, 944988, 944989, 945003, 945031, 945032, 945046, 945064, 945067, 945069, 945081, 945082, 945085, 945097, 945099, 945113, 945181, 945184, 945215, 945217, 945225, 945229, 945237, 945239, 945260, 945271, 945272, 945290, 945293, 945295, 945310, 945313, 945323, 945332, 945339, 945354, 945357, 945358, 945366, 945382, 945383, 945385, 945389, 945425, 945437, 945449, 945451, 945454, 945456, 945465, 945472, 945506, 945514, 945527, 945528, 945533, 945535, 945536, 945539, 945548, 945550, 945553, 945555, 945556, 945564, 945566, 945567, 945570, 945574, 945605, 945611, 945631, 945641, 945663, 945667, 945669, 945681, 945686, 945687, 945690, 945693, 945697, 945702, 945748, 945752, 945758, 945765, 945768, 945769, 945771, 945772, 945785, 945787, 945807, 945824, 945829, 945834, 945839, 945880, 945887, 945904, 945908, 945979, 945987, 946003, 946030, 946043, 946058, 946073, 946074, 946084, 946092, 946106, 946117, 946128, 946147, 946153, 946161, 946165, 946169, 946173, 946178, 946179, 946185, 946204, 946223, 946225, 946229, 946234, 946240, 946249, 946278, 946304, 946324, 946327, 946328, 946333, 946334, 946348, 946358, 946367, 946371, 946379, 946385, 946393, 946410, 946424, 946425, 946430, 946431, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946597, 946605, 946610, 946614, 946624, 946626, 946632, 946633, 946643, 946674, 946680, 946690, 946691, 946702, 946724, 946768, 946771, 946772, 946775, 946778, 946781, 946785, 946794, 946796, 946799, 946802, 946850, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946913, 946946, 946950, 946952, 946988, 946989, 946993, 946995, 947002, 947004, 947006, 947022, 947024, 947032, 947033, 947036, 947039, 947041, 947049, 947055, 947059, 947067, 947077, 947081, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947115, 947130, 947144, 947170, 947175, 947178, 947188, 947203, 947210, 947211, 947230, 947234, 947271, 947283, 947284, 947285, 947289, 947318, 947324, 947369, 947372, 947375, 947384, 947385, 947393, 947404, 947413, 947429, 947445, 947457, 947474, 947495, 947497, 947498, 947499, 947524, 947528, 947532, 947544, 947560, 947567, 947572, 947578, 947582, 947589, 947590, 947615, 947630, 947639, 947664, 947666, 947672, 947674, 947679, 947682, 947684, 947688, 947694, 947703, 947708, 947709, 947721, 947725, 947726, 947744, 947753, 947754, 947761, 947783, 947794, 947821, 947838, 947847, 947848, 947853, 947854, 947859, 947864, 947881, 947909, 947916, 947923, 947931, 947934, 947935, 947940, 947954, 947955, 947968, 947974, 947978, 948007, 948014, 948044, 948079, 948080, 948087, 948103, 948115, 948119, 948123, 948125, 948126, 948130, 948132, 948138, 948139, 948157, 948163, 948178, 948192, 948200, 948217, 948218, 948241, 948250, 948256, 948285, 948286, 948310, 948324, 948346, 948355, 948356, 948360, 948370, 948393, 948403, 948409, 948412, 948414, 948415, 948419, 948420, 948424, 948429, 948430, 948434, 948435, 948455, 948456, 948461, 948463, 948464, 948470, 948479, 948496, 948497, 948499, 948512, 948513, 948520, 948522, 948523, 948531, 948535, 948545, 948556, 948559, 948563, 948585, 948652, 948655, 948660, 948661, 948665, 948670, 948674, 948675, 948684, 948688, 948692, 948694, 948695, 948706, 948710, 948724, 948726, 948734, 948748, 948750, 948751, 948752, 948753, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948823, 948855, 948857, 948865, 948874, 948891, 948892, 948897, 948899, 948902, 948909, 948910, 948913, 948917, 948922, 948967, 948987, 949002, 949020, 949025, 949035, 949038, 949040, 949054, 949065, 949116, 949130, 2847756, 2847759
GO:0016021	CC	p	integral component of membrane	182/1489	291/1997	9.078918376320609e-07	3	182	7.580896844227709e-05	944801, 944803, 944814, 944822, 944830, 944856, 944870, 944871, 944876, 944894, 944936, 944967, 944994, 945004, 945080, 945102, 945108, 945118, 945136, 945185, 945191, 945193, 945199, 945213, 945228, 945292, 945316, 945322, 945324, 945328, 945341, 945347, 945374, 945401, 945420, 945460, 945504, 945525, 945530, 945554, 945571, 945585, 945594, 945602, 945649, 945651, 945677, 945749, 945790, 945810, 945821, 945841, 945843, 945858, 945878, 945883, 945910, 945978, 946018, 946056, 946057, 946076, 946106, 946144, 946201, 946242, 946246, 946281, 946288, 946332, 946334, 946335, 946345, 946350, 946355, 946427, 946495, 946540, 946553, 946576, 946625, 946628, 946678, 946685, 946693, 946705, 946716, 946717, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946895, 946897, 946956, 946981, 947040, 947053, 947069, 947135, 947157, 947235, 947257, 947303, 947416, 947421, 947521, 947555, 947561, 947605, 947614, 947643, 947655, 947690, 947720, 947722, 947731, 947787, 947799, 947815, 947887, 947907, 947919, 947930, 947966, 947972, 947990, 948009, 948024, 948030, 948032, 948033, 948039, 948043, 948063, 948064, 948075, 948083, 948118, 948148, 948220, 948224, 948247, 948252, 948311, 948319, 948321, 948322, 948328, 948351, 948422, 948446, 948458, 948468, 948486, 948521, 948548, 948575, 948577, 948591, 948626, 948659, 948697, 948698, 948725, 948727, 948735, 948761, 948778, 948870, 948876, 948888, 948992, 949042, 949048, 949052, 949098, 949105, 949120
GO:0005886	CC	p	plasma membrane	269/1489	413/1997	1.7596489755637368e-06	3	269	9.795379297304801e-05	944750, 944801, 944803, 944814, 944817, 944821, 944822, 944830, 944833, 944854, 944871, 944876, 944893, 944894, 944896, 944936, 944994, 945070, 945080, 945099, 945102, 945108, 945112, 945118, 945136, 945182, 945184, 945191, 945199, 945201, 945213, 945222, 945228, 945241, 945254, 945292, 945300, 945305, 945316, 945322, 945324, 945328, 945341, 945347, 945368, 945374, 945401, 945402, 945414, 945420, 945435, 945455, 945457, 945460, 945489, 945491, 945504, 945521, 945525, 945530, 945556, 945566, 945585, 945594, 945600, 945602, 945641, 945651, 945670, 945677, 945693, 945740, 945741, 945752, 945782, 945790, 945810, 945818, 945821, 945835, 945841, 945843, 945858, 945866, 945878, 945883, 945887, 945909, 945910, 945978, 945987, 946018, 946056, 946057, 946075, 946076, 946106, 946132, 946144, 946172, 946178, 946201, 946215, 946281, 946312, 946323, 946327, 946332, 946334, 946335, 946345, 946350, 946355, 946422, 946431, 946451, 946454, 946495, 946553, 946555, 946576, 946625, 946628, 946678, 946685, 946693, 946705, 946713, 946717, 946733, 946738, 946746, 946751, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946895, 946897, 946970, 946971, 946990, 947011, 947036, 947040, 947051, 947053, 947059, 947069, 947135, 947157, 947235, 947257, 947271, 947276, 947303, 947318, 947404, 947415, 947416, 947421, 947499, 947526, 947561, 947605, 947614, 947643, 947655, 947673, 947690, 947720, 947722, 947725, 947729, 947731, 947787, 947788, 947799, 947815, 947838, 947887, 947907, 947919, 947930, 947953, 947966, 947967, 947968, 947972, 947978, 947990, 948003, 948009, 948024, 948030, 948031, 948032, 948033, 948039, 948043, 948056, 948063, 948064, 948065, 948075, 948083, 948118, 948121, 948129, 948148, 948175, 948203, 948217, 948220, 948224, 948240, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948311, 948319, 948321, 948322, 948328, 948351, 948422, 948446, 948458, 948486, 948521, 948537, 948575, 948577, 948591, 948626, 948659, 948673, 948697, 948698, 948725, 948727, 948728, 948735, 948761, 948778, 948870, 948876, 948888, 948891, 948980, 948992, 949007, 949048, 949052, 949082, 949098, 949105, 949120, 1450304, 2847737
GO:0005887	CC	p	integral component of plasma membrane	117/1489	192/1997	1.1564686313747166e-05	4	117	0.00048282565359894416	944803, 944814, 944821, 944822, 944871, 944894, 944936, 944994, 945080, 945102, 945108, 945136, 945213, 945222, 945228, 945292, 945328, 945341, 945347, 945374, 945420, 945455, 945457, 945460, 945504, 945530, 945602, 945651, 945790, 945858, 945883, 945910, 945978, 946018, 946056, 946106, 946144, 946201, 946281, 946332, 946334, 946345, 946350, 946355, 946625, 946628, 946641, 946678, 946693, 946717, 946751, 946761, 946764, 946792, 946869, 946882, 946895, 946897, 946956, 947040, 947053, 947135, 947157, 947235, 947257, 947303, 947416, 947555, 947643, 947655, 947690, 947722, 947731, 947787, 947799, 947815, 947919, 947930, 947934, 947966, 947975, 947990, 948003, 948009, 948033, 948039, 948043, 948063, 948064, 948083, 948118, 948131, 948148, 948220, 948224, 948247, 948252, 948311, 948319, 948321, 948328, 948351, 948446, 948486, 948521, 948575, 948626, 948659, 948725, 948727, 948761, 948870, 948992, 949048, 949052, 949105, 2847740
GO:0016020	CC	p	membrane	310/1489	457/1997	0.0002362872957150249	2	310	0.007891995676881832	944750, 944753, 944801, 944803, 944814, 944817, 944821, 944822, 944830, 944854, 944856, 944870, 944871, 944872, 944876, 944893, 944894, 944896, 944936, 944967, 944994, 945004, 945011, 945070, 945080, 945099, 945102, 945108, 945112, 945118, 945136, 945173, 945182, 945185, 945189, 945191, 945193, 945199, 945201, 945213, 945222, 945228, 945241, 945254, 945292, 945300, 945305, 945316, 945322, 945324, 945328, 945341, 945347, 945368, 945374, 945381, 945401, 945402, 945420, 945428, 945435, 945455, 945457, 945460, 945489, 945491, 945492, 945504, 945521, 945525, 945530, 945554, 945556, 945571, 945582, 945583, 945585, 945594, 945602, 945604, 945641, 945649, 945651, 945655, 945670, 945677, 945693, 945741, 945752, 945775, 945782, 945790, 945810, 945818, 945821, 945841, 945843, 945858, 945866, 945878, 945883, 945887, 945910, 945978, 945987, 946018, 946056, 946057, 946058, 946076, 946106, 946132, 946144, 946172, 946175, 946201, 946242, 946246, 946257, 946281, 946288, 946301, 946312, 946323, 946327, 946332, 946334, 946335, 946345, 946350, 946355, 946422, 946427, 946451, 946454, 946495, 946525, 946540, 946553, 946555, 946576, 946625, 946628, 946678, 946685, 946686, 946693, 946705, 946713, 946716, 946717, 946733, 946738, 946751, 946759, 946761, 946762, 946764, 946782, 946789, 946792, 946801, 946820, 946822, 946869, 946882, 946895, 946897, 946954, 946956, 946970, 946971, 946972, 946981, 946990, 946996, 947011, 947029, 947036, 947040, 947051, 947053, 947059, 947069, 947086, 947135, 947157, 947235, 947257, 947271, 947276, 947303, 947318, 947416, 947421, 947426, 947499, 947521, 947526, 947555, 947561, 947605, 947614, 947643, 947655, 947673, 947690, 947720, 947722, 947725, 947729, 947731, 947787, 947788, 947799, 947815, 947838, 947887, 947907, 947919, 947930, 947953, 947966, 947967, 947968, 947972, 947978, 947990, 948003, 948009, 948022, 948024, 948030, 948031, 948032, 948033, 948039, 948043, 948056, 948063, 948064, 948065, 948075, 948083, 948118, 948121, 948148, 948175, 948203, 948220, 948224, 948240, 948242, 948243, 948244, 948245, 948247, 948252, 948254, 948311, 948319, 948321, 948322, 948328, 948351, 948370, 948422, 948446, 948458, 948468, 948486, 948521, 948536, 948537, 948548, 948575, 948577, 948591, 948626, 948659, 948670, 948673, 948697, 948698, 948725, 948727, 948728, 948735, 948761, 948778, 948833, 948870, 948876, 948888, 948891, 948908, 948980, 948981, 948988, 948992, 949042, 949048, 949052, 949082, 949098, 949105, 949113, 949120, 1450304, 2847737
GO:0098561	CC	p	methyl accepting chemotaxis protein complex	0/1489	5/1997	0.0010496152898794649	2	0	0.025040821915695805	
