# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008652	BP	e	cellular amino acid biosynthetic process	86/1520	89/1997	1.409599444030938e-07	7	86	0.00020721111827254788	944762, 944775, 944798, 944844, 944862, 945031, 945034, 945076, 945109, 945198, 945221, 945258, 945281, 945519, 945527, 945528, 945605, 945642, 945768, 945771, 945803, 945846, 946204, 946210, 946229, 946240, 946425, 946515, 946516, 946521, 946531, 946544, 946549, 946551, 946552, 946680, 946797, 946814, 946877, 946888, 946952, 947022, 947081, 947084, 947115, 947231, 947239, 947267, 947289, 947313, 947465, 947498, 947590, 947723, 947724, 947776, 947864, 947927, 947939, 948126, 948182, 948183, 948277, 948278, 948286, 948287, 948310, 948313, 948323, 948432, 948433, 948434, 948435, 948455, 948456, 948463, 948464, 948513, 948522, 948531, 948542, 948771, 948774, 948913, 949025, 2847759
GO:0005829	CC	e	cytosol	694/1520	826/1997	1.6302193539916953e-12	2	694	2.722466321166131e-10	944744, 944748, 944749, 944750, 944753, 944759, 944760, 944761, 944762, 944774, 944775, 944777, 944789, 944790, 944791, 944796, 944798, 944806, 944807, 944811, 944813, 944817, 944821, 944832, 944839, 944840, 944849, 944854, 944857, 944862, 944864, 944865, 944866, 944873, 944877, 944879, 944881, 944882, 944885, 944889, 944895, 944905, 944939, 944955, 944958, 944983, 944988, 944993, 945003, 945013, 945017, 945031, 945032, 945034, 945046, 945048, 945051, 945054, 945063, 945064, 945066, 945067, 945068, 945069, 945074, 945076, 945081, 945083, 945085, 945087, 945096, 945097, 945098, 945099, 945104, 945113, 945153, 945154, 945198, 945220, 945221, 945225, 945226, 945227, 945235, 945237, 945258, 945260, 945271, 945272, 945276, 945279, 945281, 945282, 945284, 945290, 945293, 945303, 945307, 945310, 945312, 945313, 945314, 945317, 945323, 945339, 945351, 945354, 945357, 945358, 945366, 945372, 945378, 945382, 945387, 945389, 945396, 945399, 945412, 945424, 945425, 945432, 945454, 945465, 945469, 945470, 945472, 945483, 945503, 945506, 945509, 945514, 945527, 945528, 945533, 945539, 945549, 945551, 945553, 945556, 945568, 945574, 945605, 945609, 945611, 945612, 945618, 945632, 945633, 945637, 945642, 945645, 945650, 945651, 945654, 945656, 945657, 945663, 945667, 945669, 945672, 945676, 945686, 945690, 945695, 945697, 945702, 945730, 945740, 945741, 945744, 945747, 945748, 945749, 945756, 945763, 945764, 945766, 945768, 945771, 945778, 945785, 945794, 945795, 945824, 945827, 945829, 945834, 945837, 945840, 945846, 945851, 945854, 945855, 945860, 945864, 945865, 945869, 945870, 945874, 945876, 945880, 945906, 945908, 945916, 945978, 945980, 946003, 946025, 946030, 946031, 946043, 946054, 946073, 946074, 946084, 946085, 946086, 946116, 946122, 946128, 946129, 946132, 946151, 946159, 946161, 946162, 946164, 946169, 946177, 946178, 946190, 946204, 946207, 946209, 946210, 946223, 946225, 946230, 946234, 946249, 946278, 946304, 946315, 946324, 946327, 946331, 946333, 946357, 946364, 946367, 946368, 946370, 946371, 946379, 946380, 946384, 946385, 946398, 946405, 946410, 946415, 946425, 946431, 946452, 946453, 946472, 946480, 946481, 946489, 946493, 946508, 946515, 946516, 946521, 946527, 946531, 946541, 946549, 946551, 946554, 946556, 946560, 946572, 946593, 946598, 946607, 946609, 946610, 946612, 946614, 946624, 946627, 946632, 946633, 946636, 946643, 946648, 946663, 946665, 946674, 946676, 946680, 946694, 946702, 946713, 946724, 946733, 946747, 946751, 946767, 946768, 946775, 946778, 946781, 946783, 946785, 946794, 946797, 946799, 946802, 946804, 946805, 946814, 946837, 946841, 946858, 946877, 946879, 946880, 946881, 946885, 946903, 946906, 946926, 946932, 946941, 946946, 946949, 946952, 946953, 946957, 946960, 946963, 946969, 946973, 946974, 946979, 946983, 946985, 946989, 946991, 946993, 946995, 946999, 947002, 947004, 947006, 947014, 947022, 947024, 947032, 947036, 947039, 947043, 947049, 947059, 947062, 947066, 947068, 947072, 947083, 947087, 947092, 947096, 947097, 947099, 947101, 947102, 947117, 947119, 947121, 947129, 947130, 947143, 947157, 947160, 947168, 947175, 947178, 947188, 947206, 947214, 947234, 947239, 947263, 947266, 947267, 947270, 947273, 947285, 947318, 947334, 947364, 947369, 947372, 947376, 947378, 947380, 947384, 947385, 947390, 947393, 947400, 947404, 947413, 947414, 947415, 947420, 947423, 947426, 947429, 947441, 947442, 947445, 947449, 947457, 947461, 947465, 947474, 947493, 947495, 947497, 947498, 947499, 947501, 947519, 947524, 947527, 947540, 947552, 947555, 947567, 947569, 947578, 947582, 947584, 947590, 947655, 947666, 947670, 947674, 947677, 947679, 947680, 947682, 947684, 947685, 947686, 947687, 947688, 947691, 947692, 947696, 947703, 947715, 947717, 947718, 947719, 947721, 947723, 947724, 947726, 947742, 947745, 947749, 947754, 947758, 947759, 947761, 947776, 947780, 947789, 947791, 947792, 947795, 947802, 947803, 947809, 947815, 947816, 947817, 947828, 947839, 947846, 947847, 947851, 947854, 947856, 947859, 947894, 947895, 947903, 947906, 947911, 947912, 947925, 947932, 947939, 947940, 947946, 947958, 947974, 947978, 948012, 948014, 948016, 948067, 948074, 948079, 948087, 948113, 948115, 948117, 948123, 948124, 948125, 948126, 948130, 948131, 948132, 948134, 948138, 948139, 948154, 948157, 948162, 948183, 948200, 948204, 948211, 948222, 948225, 948241, 948250, 948260, 948263, 948267, 948269, 948274, 948277, 948278, 948286, 948297, 948299, 948313, 948321, 948323, 948325, 948326, 948335, 948338, 948347, 948348, 948358, 948370, 948384, 948387, 948403, 948404, 948406, 948409, 948412, 948415, 948416, 948419, 948420, 948423, 948425, 948427, 948430, 948431, 948432, 948433, 948435, 948440, 948457, 948461, 948462, 948470, 948483, 948484, 948485, 948487, 948488, 948489, 948490, 948497, 948503, 948522, 948531, 948535, 948542, 948544, 948545, 948549, 948552, 948553, 948555, 948556, 948558, 948559, 948572, 948607, 948610, 948621, 948631, 948636, 948645, 948652, 948655, 948658, 948661, 948667, 948674, 948675, 948688, 948689, 948692, 948694, 948720, 948723, 948726, 948734, 948741, 948748, 948750, 948753, 948762, 948766, 948767, 948771, 948773, 948777, 948785, 948796, 948817, 948823, 948824, 948827, 948853, 948855, 948857, 948865, 948869, 948872, 948874, 948878, 948882, 948887, 948891, 948892, 948897, 948901, 948902, 948910, 948916, 948920, 948922, 948930, 948950, 948967, 948977, 948986, 948987, 949002, 949008, 949014, 949025, 949031, 949035, 949038, 949040, 949045, 949051, 949054, 949080, 949086, 949095, 949116, 949130, 1450243, 2847759, 2847768
GO:0005840	CC	e	ribosome	37/1520	37/1997	5.199857756760115e-05	5	37	0.0014983168461627893	944759, 944774, 945190, 945536, 945618, 945657, 946030, 946941, 947096, 947101, 947103, 947674, 947686, 947791, 947792, 947795, 947797, 947798, 947801, 947802, 947803, 947806, 947807, 947809, 947816, 947817, 947819, 947828, 947846, 947874, 948425, 948483, 948484, 948489, 948490, 948720, 948723
GO:0005737	CC	e	cytoplasm	504/1520	616/1997	5.383174297590859e-05	2	504	0.0014983168461627893	944748, 944750, 944753, 944761, 944762, 944775, 944786, 944789, 944791, 944794, 944797, 944798, 944806, 944810, 944811, 944813, 944816, 944821, 944832, 944839, 944840, 944844, 944849, 944852, 944854, 944862, 944865, 944866, 944873, 944877, 944879, 944882, 944885, 944887, 944888, 944889, 944895, 944905, 944923, 944925, 944927, 944939, 944943, 944953, 944958, 944988, 945003, 945031, 945032, 945034, 945046, 945064, 945067, 945069, 945081, 945082, 945085, 945097, 945099, 945101, 945104, 945113, 945149, 945217, 945225, 945227, 945237, 945239, 945260, 945271, 945272, 945281, 945290, 945293, 945310, 945313, 945323, 945332, 945339, 945351, 945354, 945357, 945358, 945366, 945382, 945383, 945385, 945387, 945389, 945425, 945437, 945449, 945451, 945454, 945456, 945465, 945469, 945472, 945506, 945514, 945527, 945528, 945533, 945536, 945539, 945548, 945549, 945550, 945553, 945555, 945556, 945564, 945566, 945567, 945568, 945570, 945574, 945605, 945611, 945631, 945663, 945667, 945669, 945686, 945687, 945690, 945697, 945702, 945748, 945752, 945756, 945758, 945765, 945768, 945769, 945771, 945785, 945816, 945824, 945829, 945834, 945839, 945842, 945864, 945880, 945904, 945908, 945987, 945998, 946003, 946030, 946043, 946069, 946071, 946073, 946074, 946084, 946092, 946106, 946122, 946128, 946147, 946153, 946161, 946165, 946169, 946173, 946178, 946204, 946223, 946225, 946229, 946234, 946240, 946249, 946278, 946304, 946324, 946327, 946333, 946358, 946367, 946371, 946379, 946385, 946410, 946424, 946425, 946430, 946431, 946434, 946452, 946472, 946480, 946481, 946489, 946493, 946515, 946516, 946521, 946527, 946531, 946544, 946549, 946552, 946610, 946614, 946624, 946626, 946632, 946633, 946643, 946674, 946680, 946690, 946702, 946724, 946768, 946771, 946775, 946778, 946781, 946785, 946794, 946796, 946799, 946802, 946815, 946837, 946841, 946850, 946858, 946877, 946879, 946880, 946888, 946892, 946906, 946946, 946949, 946952, 946955, 946969, 946973, 946988, 946989, 946993, 946995, 947002, 947004, 947006, 947018, 947022, 947024, 947032, 947036, 947037, 947039, 947041, 947049, 947050, 947059, 947062, 947067, 947081, 947083, 947084, 947092, 947097, 947099, 947101, 947102, 947114, 947115, 947121, 947130, 947144, 947155, 947170, 947175, 947178, 947188, 947230, 947234, 947253, 947270, 947271, 947278, 947283, 947285, 947289, 947318, 947324, 947369, 947372, 947384, 947385, 947386, 947393, 947404, 947413, 947414, 947429, 947445, 947457, 947474, 947495, 947497, 947498, 947499, 947524, 947528, 947532, 947544, 947560, 947567, 947570, 947572, 947578, 947582, 947589, 947590, 947615, 947639, 947648, 947664, 947666, 947674, 947679, 947680, 947682, 947684, 947685, 947688, 947691, 947703, 947709, 947721, 947725, 947726, 947742, 947744, 947753, 947754, 947758, 947759, 947761, 947789, 947838, 947847, 947848, 947853, 947854, 947859, 947864, 947894, 947916, 947927, 947931, 947934, 947935, 947940, 947955, 947968, 947974, 947978, 948007, 948014, 948016, 948074, 948079, 948087, 948115, 948119, 948123, 948124, 948125, 948126, 948130, 948132, 948138, 948139, 948141, 948157, 948200, 948211, 948221, 948222, 948233, 948241, 948250, 948260, 948267, 948285, 948286, 948310, 948324, 948326, 948346, 948347, 948360, 948362, 948370, 948384, 948403, 948404, 948409, 948412, 948415, 948419, 948420, 948424, 948430, 948433, 948434, 948435, 948455, 948456, 948461, 948463, 948464, 948470, 948496, 948497, 948502, 948512, 948513, 948520, 948522, 948531, 948535, 948545, 948556, 948559, 948566, 948610, 948631, 948640, 948645, 948652, 948655, 948660, 948661, 948670, 948674, 948675, 948684, 948688, 948692, 948694, 948706, 948710, 948726, 948734, 948748, 948750, 948752, 948753, 948762, 948766, 948767, 948771, 948773, 948774, 948785, 948791, 948823, 948824, 948853, 948855, 948857, 948865, 948869, 948874, 948891, 948892, 948894, 948897, 948899, 948902, 948909, 948910, 948911, 948913, 948917, 948922, 948950, 948967, 948971, 948987, 949002, 949020, 949025, 949035, 949038, 949040, 949054, 949060, 949065, 949097, 949116, 949130, 2847756, 2847759
GO:0005886	CC	p	plasma membrane	274/1520	413/1997	3.8338473458585913e-07	3	274	3.2012625337919235e-05	944750, 944801, 944803, 944815, 944817, 944821, 944822, 944833, 944854, 944876, 944893, 944894, 944896, 944918, 944936, 944994, 945070, 945080, 945084, 945099, 945102, 945108, 945112, 945143, 945192, 945199, 945201, 945213, 945222, 945228, 945241, 945254, 945292, 945300, 945305, 945316, 945324, 945328, 945341, 945347, 945368, 945401, 945402, 945420, 945435, 945455, 945476, 945489, 945491, 945513, 945521, 945525, 945526, 945530, 945540, 945556, 945566, 945594, 945602, 945615, 945621, 945624, 945651, 945670, 945673, 945677, 945680, 945691, 945740, 945741, 945752, 945782, 945790, 945802, 945810, 945823, 945835, 945858, 945866, 945878, 945893, 945909, 945910, 945978, 945987, 946018, 946056, 946057, 946075, 946076, 946106, 946132, 946144, 946172, 946178, 946201, 946215, 946238, 946290, 946312, 946323, 946326, 946327, 946335, 946342, 946345, 946350, 946352, 946355, 946399, 946422, 946431, 946454, 946495, 946553, 946555, 946566, 946576, 946582, 946604, 946625, 946628, 946653, 946672, 946678, 946685, 946693, 946704, 946713, 946717, 946733, 946746, 946751, 946753, 946757, 946759, 946761, 946762, 946764, 946789, 946792, 946822, 946869, 946882, 946895, 946897, 946970, 946971, 946990, 946992, 947036, 947053, 947059, 947069, 947135, 947139, 947145, 947148, 947157, 947166, 947235, 947253, 947257, 947259, 947264, 947271, 947276, 947302, 947303, 947318, 947322, 947377, 947404, 947415, 947416, 947499, 947561, 947580, 947605, 947614, 947655, 947690, 947712, 947720, 947722, 947725, 947787, 947799, 947815, 947838, 947887, 947953, 947966, 947967, 947968, 947969, 947978, 948009, 948030, 948032, 948033, 948039, 948043, 948048, 948056, 948063, 948064, 948065, 948068, 948074, 948075, 948083, 948118, 948121, 948129, 948175, 948203, 948214, 948220, 948222, 948224, 948240, 948242, 948244, 948247, 948252, 948262, 948264, 948311, 948319, 948321, 948322, 948326, 948328, 948351, 948405, 948422, 948428, 948446, 948458, 948486, 948521, 948537, 948541, 948565, 948575, 948577, 948591, 948626, 948667, 948676, 948725, 948727, 948728, 948735, 948761, 948778, 948795, 948876, 948891, 948900, 948911, 948980, 948992, 949007, 949036, 949039, 949048, 949052, 949082, 949098, 949105, 949120, 2847737
GO:0016020	CC	p	membrane	310/1520	457/1997	4.6897547143824365e-06	2	310	0.00026106301243395563	944750, 944753, 944801, 944803, 944815, 944817, 944821, 944822, 944854, 944856, 944870, 944872, 944876, 944893, 944894, 944896, 944918, 944936, 944964, 944967, 944994, 945004, 945070, 945080, 945084, 945099, 945102, 945108, 945112, 945128, 945143, 945173, 945185, 945189, 945192, 945193, 945199, 945201, 945213, 945222, 945228, 945241, 945254, 945292, 945300, 945305, 945316, 945324, 945328, 945341, 945347, 945368, 945381, 945401, 945402, 945420, 945428, 945435, 945455, 945476, 945489, 945491, 945492, 945494, 945513, 945521, 945525, 945526, 945530, 945540, 945554, 945556, 945571, 945582, 945583, 945594, 945602, 945615, 945621, 945624, 945651, 945670, 945673, 945677, 945680, 945691, 945741, 945752, 945775, 945782, 945790, 945802, 945810, 945823, 945858, 945866, 945878, 945893, 945910, 945978, 945987, 946018, 946056, 946057, 946076, 946106, 946132, 946144, 946172, 946175, 946201, 946238, 946242, 946246, 946257, 946288, 946290, 946301, 946312, 946323, 946326, 946327, 946335, 946342, 946345, 946350, 946352, 946355, 946399, 946422, 946454, 946495, 946540, 946553, 946555, 946566, 946576, 946604, 946625, 946628, 946653, 946672, 946678, 946685, 946686, 946693, 946704, 946713, 946716, 946717, 946733, 946751, 946757, 946759, 946761, 946762, 946764, 946782, 946789, 946792, 946801, 946820, 946822, 946869, 946882, 946895, 946897, 946956, 946970, 946971, 946972, 946981, 946982, 946990, 946992, 946996, 947029, 947036, 947053, 947059, 947069, 947086, 947135, 947139, 947145, 947148, 947157, 947166, 947235, 947253, 947257, 947259, 947264, 947271, 947276, 947302, 947303, 947318, 947322, 947377, 947416, 947426, 947499, 947521, 947555, 947561, 947580, 947605, 947614, 947655, 947690, 947712, 947720, 947722, 947725, 947787, 947799, 947815, 947838, 947887, 947953, 947966, 947967, 947968, 947969, 947978, 948009, 948022, 948030, 948032, 948033, 948039, 948043, 948048, 948056, 948063, 948064, 948065, 948068, 948075, 948083, 948118, 948121, 948175, 948203, 948214, 948220, 948224, 948240, 948242, 948244, 948247, 948252, 948262, 948264, 948311, 948319, 948321, 948322, 948326, 948328, 948351, 948370, 948405, 948422, 948428, 948446, 948458, 948468, 948486, 948521, 948536, 948537, 948541, 948548, 948565, 948575, 948577, 948591, 948626, 948670, 948676, 948725, 948727, 948728, 948735, 948761, 948778, 948795, 948833, 948876, 948891, 948900, 948908, 948911, 948980, 948981, 948988, 948992, 949036, 949039, 949042, 949048, 949052, 949082, 949098, 949105, 949113, 949120, 2847737
GO:0016021	CC	p	integral component of membrane	190/1520	291/1997	7.0863562668817266e-06	3	190	0.00029585537414231205	944801, 944803, 944815, 944822, 944856, 944870, 944876, 944894, 944918, 944936, 944967, 944994, 945004, 945080, 945084, 945102, 945108, 945128, 945143, 945185, 945192, 945193, 945199, 945213, 945228, 945292, 945316, 945324, 945328, 945341, 945347, 945401, 945420, 945513, 945525, 945530, 945540, 945554, 945571, 945594, 945602, 945615, 945621, 945624, 945651, 945673, 945677, 945680, 945691, 945749, 945790, 945810, 945823, 945858, 945878, 945893, 945910, 945978, 946018, 946056, 946057, 946076, 946106, 946144, 946201, 946238, 946242, 946246, 946288, 946290, 946326, 946335, 946342, 946345, 946350, 946352, 946355, 946399, 946495, 946540, 946553, 946566, 946576, 946625, 946628, 946672, 946678, 946685, 946693, 946704, 946716, 946717, 946751, 946761, 946764, 946820, 946822, 946869, 946882, 946895, 946897, 946956, 946981, 946992, 947053, 947069, 947135, 947145, 947157, 947166, 947235, 947257, 947259, 947264, 947303, 947322, 947416, 947521, 947555, 947561, 947580, 947605, 947614, 947655, 947690, 947712, 947720, 947722, 947787, 947799, 947815, 947887, 947966, 947969, 948009, 948030, 948032, 948033, 948039, 948043, 948048, 948063, 948064, 948068, 948075, 948083, 948118, 948214, 948220, 948224, 948247, 948252, 948262, 948311, 948319, 948321, 948322, 948328, 948351, 948405, 948422, 948428, 948446, 948458, 948468, 948486, 948521, 948548, 948565, 948575, 948577, 948591, 948626, 948676, 948725, 948727, 948735, 948761, 948778, 948795, 948876, 948900, 948992, 949039, 949042, 949048, 949052, 949098, 949105, 949120
GO:0005887	CC	p	integral component of plasma membrane	128/1520	192/1997	0.0017765373215224971	4	128	0.04238310467060815	944803, 944815, 944821, 944822, 944894, 944918, 944936, 944964, 944994, 945080, 945084, 945102, 945108, 945143, 945192, 945213, 945222, 945228, 945292, 945328, 945341, 945347, 945420, 945455, 945513, 945530, 945540, 945602, 945615, 945624, 945651, 945673, 945691, 945790, 945858, 945910, 945978, 946018, 946056, 946106, 946144, 946201, 946326, 946342, 946345, 946350, 946352, 946355, 946399, 946582, 946625, 946628, 946641, 946653, 946672, 946678, 946693, 946717, 946751, 946761, 946764, 946792, 946869, 946882, 946895, 946897, 946956, 946992, 947053, 947135, 947145, 947157, 947166, 947235, 947257, 947259, 947264, 947303, 947416, 947555, 947580, 947655, 947690, 947712, 947722, 947787, 947799, 947815, 947934, 947966, 948009, 948033, 948039, 948043, 948063, 948064, 948083, 948118, 948131, 948214, 948220, 948224, 948247, 948252, 948262, 948311, 948319, 948321, 948328, 948351, 948428, 948446, 948486, 948521, 948541, 948565, 948575, 948626, 948676, 948725, 948727, 948761, 948900, 948992, 949039, 949048, 949052, 949105
